naziv;nadredjena_ustanova;vrsta_ustanove;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Opća bolnica Karlovac;NA;NA;Znanstvena ustanova;Andrije Štampara 3;Karlovac;(+385 47) 608-100, (+385 47) 608-001;NA;info@bolnica-karlovac.hr;NA;ravnatelj doc. dr. sc. Ervin Jančić
Opća bolnica Pula;NA;NA;Znanstvena ustanova;Zagrebačka 30;Pula - Pola;(+385 52) 376-400;NA;obpula@obpula.hr;www.obpula.hr;ravnatelj Lems Jerin
Opća bolnica Šibenik;NA;NA;Znanstvena ustanova;Stjepana Radića 83;Šibenik;(+385 22) 332-760, (+385 22) 246-246;NA;opca-bolnica-sibenik3@si.t-com.hr;si.hatenet.hr;ravnatelj Željko Burić
Opća bolnica Varaždin;NA;NA;Znanstvena ustanova;Ivana Meštrovića bb;Varaždin;(+385 42) 393-000;NA;ravnateljstvo@bv.hr;www.obv.hr;ravnatelj Dubravko Tršinski
Opća bolnica Zabok;NA;NA;Znanstvena ustanova;Bračak 8;Zabok;(+385 49) 204 000, (+385 49) 204 011;(+385 49) 204 019;informacije@bolnica-zabok.hr;www.bolnica-zabok.hr;ravnatelj Stanko Belina
Opća bolnica Zadar;NA;NA;Znanstvena ustanova;Bože Peričića 5;Zadar;023/505 119;023/315 724;zculina065@gmail.com;www.bolnica-zadar.hr;ravnatelj Željko Čulina
Opća županijska bolnica Požega;NA;NA;Znanstvena ustanova;Osječka 107;Požega;(+385 34) 254-555, (+385 34) 254-505;NA;info@pozeska-bolnica.hr;www.pozeska-bolnica.hr;ravnatelj prof. dr. sc. Željko Glavić
PLIVA HRVATSKA d.o.o.;NA;NA;Znanstvena ustanova;Prilaz baruna Filipovića 25;Zagreb;(+385 1) 3720-600;NA;tatjana.medjesi@pliva.hr;www.pliva.com;predsjednik uprave Tihomir Orešković
"PODRAVKA prehrambena industrija d.d. FC ""Istraživanje i razvoj";NA;NA;Znanstvena ustanova;Ante Starčevića 32;Koprivnica;(+385 48) 651-100;(+385 48) 622-518;podravka@podravka.hr;www.podravka.hr;NA
Poliklinika Aviva;NA;NA;Znanstvena ustanova;Nemetova 2;Zagreb;(+385 1) 4693 101;NA;vida.demarin@poliklinika-nemetova.hr;NA;medicinski direktor akademkinja Vida Demarin
Poliklinika SUVAG;NA;NA;Znanstvena ustanova;Kneza Ljudevita Posavskog 10;Zagreb;(+385 1) 4629-600, (+385 1) 4629-603;NA;zagreb@suvag.hr;www.suvag.hr;ravnateljica dr. sc. Katarina Pavičić Dokoza
Poljoprivredni institut Osijek;NA;NA;Znanstvena ustanova;Južno predgrađe 17, p.p. 334;Osijek;(+385 31) 515-500;NA;institut@poljinos.hr;www.poljinos.hr;ravnatelj dr. sc. Zvonimir Zdunić
Pomorski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Studentska 2;Rijeka;(+385 51) 338 411;(+385 51) 336 755;dekanat@pfri.hr;www.pfri.uniri.hr;dekan dr. sc. Alen Jugović
Pomorski fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 37;Split;(+385 21) 619 399;(+385 21) 619 499;dekan@pfst.hr;www.pfst.unist.hr;dekan prof. dr. sc. Pero Vidan
Pravni fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Ulica Stjepana Radića 13;Osijek;(+385 31) 224 500;(+385 31) 224 540;ured@zakon.pravos.hr;www.pravos.unios.hr;dekan izv. prof. dr. sc. Tunjica Petrašević
Pravni fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Hahlić 6;Rijeka;(+385 51) 359 500;NA;dekanat@pravri.hr;www.pravri.uniri.hr;dekanica prof. dr. sc. Vesna Crnić-Grotić
Pravni fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ulica Domovinskog rata 8;Split;(+385 21) 393 555;(+385 21 393 597);dekanat@pravst.hr;www.pravst.unist.hr;dekan izv. prof. dr. sc. Ratko Brnabić
Pravni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske  14;Zagreb;(+385 1) 4564 309;(+385 1) 4564 030;dekanat@pravo.hr;www.pravo.unizg.hr;dekan prof. dr. sc. Ivan Koprić
Prehrambeno-biotehnološki fakultet;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 4605 000;(+385 1) 4836 083;dekan@pbf.hr;www.pbf.unizg.hr;dekanica dr. sc. Jadranka Frece
Prehrambeno-tehnološki fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Franje Kuhača 18;Osijek;(+385 31) 224 300;(+385 31) 207 115;office@ptfos.hr;www.ptfos.unios.hr;dekan prof. dr. sc. Jurislav Babić
Prirodoslovno-matematički fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 33;Split;(+385 21) 619 222;(+385 1) 619 227;dekanat@pmfst.hr;www.pmfst.unist.hr;dekan prof. dr. sc. Nikola Koceić Bilan
Prirodoslovno-matematički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Horvatovac 102/a;Zagreb;(+385 1) 4606 010;(+385 1) 4606 013;dekanat@dekanat.pmf.hr;www.pmf.unizg.hr;dekan prof. dr. sc. Mirko Planinić
"Psihijatrijska bolnica ""Sveti Ivan"" Zagreb";NA;NA;Znanstvena ustanova;Jankomir 11;Zagreb;"(+385 1) 3430-000;(+385 1) 3794 333";(+385 1) 3794-116;pbsvi@pbsvi.hr;www.pbsvi.hr;ravnatelj izv. prof. dr. sc. Igor Filipčić
RIT Croatia, Dubrovnik;NA;Visoka škola;Znanstvena ustanova i visoko učilište;Don Frana Bulića 6;Dubrovnik;(+385 20) 433 000;(+385 20) 433 001;ritcroatia@croatia.rit.edu;www.croatia.rit.edu;dekan mr. sc. Donald Hudspeth
Rudarsko-geološko-naftni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 5535 700;(+385 1) 4836 051;dekan@rgn.unizg.hr;www.rgn.unizg.hr;dekan izv. prof. dr. sc. Vladislav Brkić
Specijalna bolnica Sv. Katarina;NA;NA;Znanstvena ustanova;Bračak 8;Zabok;049/204 888;049/204 887;info@svkatarina.hr;www.svkatarina.hr;ravnateljica mr. sc. Nevenka Kovač
Specijalna bolnica Svjetlost;NA;NA;Znanstvena ustanova;Heinzelova 39;Zagreb;(+385 1) 7775 656;(+385 1) 7775 600;tajnica@svjetlost.hr;www.svjetlost.hr;ravnatelj prof. dr. sc. Nikica Gabrić
"Specijalna bolnica za ortopediju i opću kirurgiju ""Dr. Nemec"", Matulji";NA;NA;Znanstvena ustanova;Ul. Dalmatinskih brigada bb, Matulji;Matulji;(+385 51) 277-350;(+385 51) 273-901;NA;NA;ravnatelj dr. sc. Boris Nemec
Staroslavenski institut , Zagreb;NA;NA;Znanstvena ustanova;Demetrova 11;Zagreb;(+385 1) 4851 380;NA;info@stin.hr;www.stin.hr;ravnateljica dr. sc. Vida Vukoja
Stomatološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Gundulićeva 5;Zagreb;"(+385 1) 4802 111;4807 350";"(+385 1) 4830 804; 4807 367";dekanat@sfzg.hr;www.sfzg.unizg.hr;dekanica prof. dr. sc. Zrinka Tarle
Sveučilište  Josipa Jurja Strossmayera u Osijeku;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Trg Sv. Trojstva 3;Osijek;(+385 31) 224 102;NA;rektorat@unios.hr;www.unios.hr;dekan prof. dr. sc. Vlado Guberac
Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Znanstvena ustanova i visoko učilište;Trg Ljudevita Gaja 6;Osijek;(+385 31) 224 800;(+385 31) 224 801;math@mathos.hr;www.mathos.unios.hr;pročelnik Kristian Sabo
Sveučilište Jurja Dobrile u Puli;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Zagrebačka ulica 30;Pula - Pola;(+385 52) 377 000;(+385 52) 216 416;ured@unipu.hr;www.unipu.hr;dekan prof. dr. sc. Alfio Barbieri
Sveučilište Sjever, Koprivnica;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Trg dr. Žarka Dolinara 1;Koprivnica;(+385 48) 240 294;(+385 48) 240 295;info@unin.hr;http://www.unin.hr;rektor prof. dr. sc. Marin Milković
Sveučilište u Dubrovniku;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Branitelja Dubrovnika 29;Dubrovnik;(+385 20) 445 700;(+385 20) 435 590;rektoratdu@unidu.hr;www.unidu.hr;rektor dr. sc. Nikša Burum
Sveučilište u Osijeku - Odjel za biologiju;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Znanstvena ustanova i visoko učilište;Cara Hadrijana 8/A;Osijek;(+385 31) 399 900;(+385 31) 399 939;info@biologija.unios.hr;www.biologija.unios.hr;pročelnica izv. prof. dr. sc. Tanja Žuna Pfeiffer
Sveučilište u Osijeku - Odjel za fiziku;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Znanstvena ustanova i visoko učilište;Trg Ljudevita Gaja 6;Osijek;(+385 31) 232 700;(+385 31) 232 701;ured@fizika.unios.hr;www.fizos.unios.hr;pročelnica dr. sc. Vanja Radolić
Sveučilište u Osijeku - Odjel za kemiju;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Znanstvena ustanova i visoko učilište;Cara Hadrijana 8/A;Osijek;(+385 31) 399 950;(+385 31) 399 969;info@kemija.unios.hr;www.kemija.unios.hr;pročelnica doc. dr. sc. Elvira Kovač-Andrić
Sveučilište u Rijeci;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Trg braće Mažuranića 10;Rijeka;(+385 51) 406 500;(+385 51) 406 588;ured@uniri.hr;www.uniri.hr;rektorica prof. dr. sc. Snježana Prijić-Samaržija
