naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
OSNOVNA ŠKOLA ANTUNA KANIŽLIĆA;Osnovna škola;Matična škola;NA;11-077-003;0-0;Požeško-slavonska;Antuna Kanižlića 2;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Samardžija;034/312-030 , 034/312-030 , 034/273-681;034/273-681;akanizlica@os-akanizlica-pozega.skole.hr;http://os-akanizlica-pozega.skole.hr/;  OSNOVNA ŠKOLA ANTUNA KANIŽLIĆA - Područna škola Vidovci   , Stjepana Radića 1, Vidovci, 34000 Požega
Katolička osnovna škola u Požegi;Osnovna škola;Matična škola;NA;11-077-005;0-0;Požeško-slavonska;Ulica pape Ivana Pavla II.  6;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Frano  Barišić;034/312-060 , 034/312-065 , 034/312-066 , 034/312-067 , 034/312-069;034/312-059;kos@kospz.hr , ured@os-katolicka-pz.skole.hr;os-katolicka-pz.skole.hr;NA
Osnovna škola Dragutina Lermana;Osnovna škola;Matična škola;NA;11-318-001;0-0;Požeško-slavonska;POŽEŠKA 45;34322  Brestovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marko  Buće;034/241-004 , 034/241-004 , 034/314-010;NA;ured@os-dlermana-brestovac.skole.hr;NA;  Osnovna škola Dragutina Lermana - Područna škola Pavlovci   , PAVLOVCI BB, 34322 Pavlovci ,   Osnovna škola Dragutina Lermana - Područna škola Skenderovci   , Skenderovci 46, 34322 Skenderovci ,   Osnovna škola Dragutina Lermana - Područna škola Zakorenje   , ZAKORENJE 54, 34322 Zakorenje ,   Osnovna škola Dragutina Lermana - Područna škola Ivandol   , Ivandol bb, 34322 Ivandol
OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN;Osnovna škola;Matična škola;NA;11-319-001;0-0;Požeško-slavonska;VLADIMIRA NAZORA 3;34350  Čaglin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slađana  Švajda;034/221-380 , 034/221-078 , 034/221-028;034/221-381;os-caglin@os-sradica-caglin.skole.hr;NA;  OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN - Područna škola Djedina Rijeka   , Djedina Rijeka 1, 34350 Djedina Rijeka ,   OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN - Područna škola Ljeskovica   , Josipa Kneževića 47 R, 34350 Nova Ljeskovica ,   OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN - Područna škola Ruševo   , Ruševo, Ruševo bb, 34350 Ruševo
Osnovna škola Mladost;Osnovna škola;Matična škola;NA;11-320-001;0-0;Požeško-slavonska;KOLODVORSKA 2;34308  Jakšić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Boško  Obradović;034/315-503 , 034/257-335 , 034/257-134 , 034/315-516;034/315-080;mladost-jaksic@os-mladost-jaksic.skole.hr;http://os-mladost-jaksic.skole.hr/;  Osnovna škola Mladost - Područna škola Cerovac   , CEROVAC 26, 34308 Cerovac ,   Osnovna škola Mladost - Područna škola Rajsavac   , RAJSAVAC 42, 34308 Rajsavac ,   Osnovna škola Mladost - Područna škola Tekić   , TEKIĆ 30, 34308 Tekić ,   Osnovna škola Mladost - Područna škola Trapari   , TRAPARI 12, 34310 Trapari ,   Osnovna škola Mladost - Područna škola Treštanovci   , TREŠTANOVCI 53, 34308 Treštanovci
Osnovna škola Vilima Korajca;Osnovna škola;Matična škola;NA;11-321-001;0-0;Požeško-slavonska;ŠKOLSKA 12;34334  Kaptol; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nino  Diklić;034/231709 , 034/313100 , 034/231040;034/231-040;ured@os-vkorajca-kaptol.skole.hr;NA;  Osnovna škola Vilima Korajca - Područna škola Alilovci   , ALILOVCI 48, 34334 Alilovci ,   Osnovna škola Vilima Korajca - Područna škola Podgorje   , PODGORJE 29, 34335 Podgorje
Osnovna škola Zdenka Turkovića;Osnovna škola;Matična škola;NA;11-322-001;0-0;Požeško-slavonska;Republike Hrvatske 26;34340  Kutjevo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milorad  Bandalo;034/255-088 , 034/255-088;034/255-088;tajnistvo@os-zturkovica-kutjevo.skole.hr ,  ravnatelj@os-zturkovica-kutjevo.skole.hr , os-zdenka-turkovica@po.t-com.hr;NA;  Osnovna škola Zdenka Turkovića - Područna škola Bektež   , Bektež 6, 34343 Bektež ,   Osnovna škola Zdenka Turkovića - Područna škola Ciglenik   , Ciglenik 21, 34343 Ciglenik ,   Osnovna škola Zdenka Turkovića - Područna škola Grabarje   , Kralja Tomislava 44, 34312 Grabarje ,   Osnovna škola Zdenka Turkovića - Područna škola Gradište   , Gradište 86, 34343 Gradište ,   Osnovna škola Zdenka Turkovića - Područna škola Kula   , Kula 14, 34343 Kula ,   Osnovna škola Zdenka Turkovića - Područna škola Mitrovac   , Mitrovac 80, 34340 Mitrovac ,   Osnovna škola Zdenka Turkovića - Područna škola Poreč   , Poreč 98, 34343 Poreč ,   Osnovna škola Zdenka Turkovića - Područna škola Tominovac   , Tominovac 33, 34340 Tominovac ,   Osnovna škola Zdenka Turkovića - Područna škola Vetovo   , Matije Gupca 7, 34335 Vetovo
Osnovna škola fra Kaje Adžića Pleternica;Osnovna škola;Matična škola;NA;11-323-001;0-0;Požeško-slavonska;ŠKOLSKA 2;34310  Pleternica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Hrvoje  Galić;034/251-040 , 034/251-040 , 034/251-048;034/311-024;skola@os-frakajeadzica-pleternica.skole.hr;http://os-frakajeadzica-pleternica.skole.hr/;  Osnovna škola fra Kaje Adžića Pleternica - Područna škola Buk   , BUK, 34310 Buk ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Bučje   , Bučje bb, 34310 Bučje ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Brodski Drenovac   , BRODSKI DRENOVAC, 34315 Ratkovica ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Frkljevci   , FRKLJEVCI, 34310 Frkljevci ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Gradac   , GRADAC, 34310 Gradac ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Požeška Koprivnica   , POŽEŠKA KOPRIVNICA, 34310 Požeška Koprivnica ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Kuzmica   , KUZMICA, 34311 Kuzmica ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Požeške Sesvete   , SESVETE , 34312 Sesvete ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Ratkovica   , RATKOVICA, 34315 Ratkovica ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Sulkovci   , SULKOVCI, 34310 Sulkovci ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Zagrađe   , ZAGRAĐE, 34310 Zagrađe ,   Osnovna škola fra Kaje Adžića Pleternica - Područna škola Zarilac   , ZARILAC, 34312 Zarilac
OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Osnovna škola;Matična škola;NA;11-324-001;0-0;Požeško-slavonska;TRG BANA JOSIPA JELAČIĆA 7;34330  Velika; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravko  Barun;034/233-030 , 034/313-014; 034/313-014;ured@os-igkovacic-velika.skole.hr;os-igkovacic-velika.skole.hr;  OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ - Područna škola Biškupci   , BIŠKUPCI 17B, 34330 Biškupci ,   OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ - Područna škola Radovanci   , Radovanci 35, 34330 Radovanci ,   OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ - Područna škola Toranj   , TORANJ 2, 34330 Toranj
OSNOVNA ŠKOLA VLADIMIR NAZOR;Osnovna škola;Matična škola;NA;11-324-002;0-0;Požeško-slavonska;MLINSKA 3;34330  Trenkovo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Prološčić;034/236-386 , 034/236-023 , 034/236-383 , 034/236-509 ;034/236-023;skola@os-vnazor-trenkovo.skole.hr;www.os-vnazor-trenkovo.skole.hr/;"  OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" - Područna škola Mihaljevci   , Kolodvorska 1, 34000 Mihaljevci"
Osnovna škola Lipik;Osnovna škola;Matična škola;NA;11-327-001;0-0;Požeško-slavonska;ŠKOLSKA 25;34551  Lipik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Klaudija  Kovač;034/421-486 , 034/421-486 , 034/422-245;034/421-486;ured@os-lipik.skole.hr , osnovna.skola.lipik@oslipik.tcloud.hr;http://os-lipik.skole.hr/;  Osnovna škola Lipik - Područna škola Dobrovac   , Stjepana Radića bb, Dobrovac, 34551 Dobrovac
OSNOVNA ŠKOLA GRIGORA VITEZA POLJANA;Osnovna škola;Matična škola;NA;11-327-002;0-0;Požeško-slavonska;Antunovačka  29;34543  Poljana; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tibor  Nagy;034/431-403 , 034/431-300 , 034/431-403;034/431-403;ured@os-gviteza-poljana.skole.hr;NA;NA
Osnovna škola Ljudevita Gaja Nova Gradiška;Osnovna škola;Matična škola;NA;12-051-001;0-0;Brodsko-posavska;LJUDEVITA GAJA 24;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Blagica  Pečnjak;035/331-380 , 035/361-612          099/616-3701 ;035/361-377;ured@os-ljgaja-ng.skole.hr;os-ljgaja-ng.skole.hr ;  Osnovna škola Ljudevita Gaja Nova Gradiška - Područna škola Dolina   , DOLINA 101, 35423 Dolina ,   Osnovna škola Ljudevita Gaja Nova Gradiška - Područna škola Sičice   , SIČICE 98, 35423 Sičice ,   Osnovna škola Ljudevita Gaja Nova Gradiška - Područna škola Vrbje   , KRALJA TOMISLAVA 4, 35423 Vrbje
Osnovna škola Mato Lovrak;Osnovna škola, Umjetnička škola;Matična škola;NA;12-051-002;0-0;Brodsko-posavska;MAKSIMILIJANA BENKOVIĆA 39;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Lončar-Cindrić;035/363-185 , 035/361-933 , 035/363-221 , 035/330-106;035/331-841;ured@os-mlovrak-ng.skole.hr  , ravnatelj@os-mlovrak-ng.skole.hr;http://os-mlovrak-ng.skole.hr;  Osnovna škola Mato Lovrak - Područna škola Ljupina   , Ljupina 60, 35400 Ljupina ,   Osnovna škola Mato Lovrak - Područna škola Mačkovac   , Mačkovac 59, 35400 Mačkovac
OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Osnovna škola;Matična škola;NA;12-078-001;0-0;Brodsko-posavska;HUGE BADALIĆA 8;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Bagarić;035/447-314 , 035/447-314 , 035/409-741;035/409-730;ured@os-igkovacic-sb.skole.hr;os-igkovacic-sb.skole.hr;  OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ - Područna škola Donja Vrba   , Sv Filipa i Jakova 23, 35207 Donja Vrba
OSNOVNA ŠKOLA ANTUN MIHANOVIĆ;Osnovna škola;Matična škola;NA;12-078-002;0-0;Brodsko-posavska;A. Mihanovića 35;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Vinarić;035/444-501 , 035/444-501 , 035/415-062;035/444-501;antun.mihanovic@os-amihanovic-sb.skole.hr;NA;NA
OSNOVNA ŠKOLA HUGO BADALIĆ;Osnovna škola;Matična škola;NA;12-078-003;0-0;Brodsko-posavska;Borovska 3;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Irena  Čugura Ćerić;035/446-015 , 035/446-015 , 035/251-329;035/446-015;ured@os-hbadalic-sb.skole.hr;NA;  OSNOVNA ŠKOLA HUGO BADALIĆ - Područna škola Jelas   , FRANJE KUHAČA 23, 35000 Slavonski Brod
OSNOVNA ŠKOLA ĐURO PILAR;Osnovna škola;Matična škola;NA;12-078-004;0-0;Brodsko-posavska;Vinogorska 1;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Nikičić;035/465-004 , 035/465-059;035/465-030;ured@os-djpilar-sb.skole.hr;http://os-djpilar-sb.skole.hr/;  OSNOVNA ŠKOLA ĐURO PILAR - Područna škola Kolonija   , Vinogradska cesta 84., 35000 Slavonski Brod
OSNOVNA ŠKOLA BOGOSLAV ŠULEK;Osnovna škola;Matična škola;NA;12-078-005;0-0;Brodsko-posavska;ALEJA MIROSLAVA KRLEŽE 2;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slavica  Đurđević;035/255-505 , 035/255-505 , 035/255-067 , 035/402-910;035/402-912;ured@os-bsulek-sb.skole.hr;http://os-bsulek-sb.skole.hr;  OSNOVNA ŠKOLA BOGOSLAV ŠULEK - Područna škola Vranovci   , Slavonska 12, 35209 Vranovci ,   OSNOVNA ŠKOLA BOGOSLAV ŠULEK - Područna škola Šušnjevci   , ŠUŠNJEVCI, TRG SVETOG MIHOVILA 5 , 35211 Šušnjevci
OSNOVNA ŠKOLA VLADIMIR NAZOR;Osnovna škola;Matična škola;NA;12-078-006;0-0;Brodsko-posavska;FRANJE MARINIĆA 9;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Stanković;035/266-469 , 035/266-469 , 035/266-622 , 035/408-770;035/266-469;os-vnazor-sb@os-vnazor-sb.skole.hr;NA;  OSNOVNA ŠKOLA VLADIMIR NAZOR - Područna škola Gornja Vrba   , GORNJA VRBA, VRBSKIH ŽRTAVA 122, 35207 Gornja Vrba ,   OSNOVNA ŠKOLA VLADIMIR NAZOR - Područna škola Ruščica   , Ivane Brlić Mažuranić 5, 35208 Rušćica ,   OSNOVNA ŠKOLA VLADIMIR NAZOR - Područna škola Gornja Bebrina   , Gornja Bebrina 62, 35208 Gornja Bebrina ,   OSNOVNA ŠKOLA VLADIMIR NAZOR - Područna škola Klakar   , Klakar 39, 35208 Klakar ,   OSNOVNA ŠKOLA VLADIMIR NAZOR - Područna škola Donja Bebrina   , Donja Bebrina 66, 35208 Donja Bebrina
OSNOVNA ŠKOLA IVANA BRLIĆ-MAŽURANIĆ;Osnovna škola;Matična škola;NA;12-078-007;0-0;Brodsko-posavska;ZAGREBAČKA 78;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Irena  Holik;035/272-361 , 035/272-641;035/402-920;skola@os-ibmazuranic-sb.skole.hr;http://os-ibmazuranic-sb.skole.hr/;  OSNOVNA ŠKOLA IVANA BRLIĆ-MAŽURANIĆ - Područna škola Brodski Varoš   , Zagrebačka 290, 35000 BRODSKI VAROŠ ,   OSNOVNA ŠKOLA IVANA BRLIĆ-MAŽURANIĆ - Područna škola Gromačnik   , Dr. Franje Tuđmana 75, 35252 Sibinj
OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ;Osnovna škola;Matična škola;NA;12-078-008;0-0;Brodsko-posavska;PODVINJSKA 25;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;035/461-496 , 035/461-682 , 035/461-052 , 035/463-100;035/461-682;ured@os-btadijanovic-sb.skole.hr;NA;  OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ - Područna škola Podcrkavlje   , PODCRKAVLJE, Brodska bb, 35201 Podcrkavlje
OSNOVNA ŠKOLA MILAN AMRUŠ;Osnovna škola;Matična škola;NA;12-078-009;0-0;Brodsko-posavska;NIKOLE ZRINSKOG 100;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Čošić;035/447-034 , 035/447-034 , 035/402-900;035/447-034;ured@os-mamrus-sb.skole.hr;http://os-mamrus-sb.skole.hr/;NA
Osnovna škola Dragutin Tadijanović;Osnovna škola;Matična škola;NA;12-078-011;0-0;Brodsko-posavska;NASELJE ANDRIJE HEBRANGA 12/1;35000  Slavonski Brod; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ana  Blagović;035/408-330 , 035/408-330 , 035/453-014;035/408-331;os.dragutin.tadijanovic@sb.t-com.hr , ured@os-dragutin-tadijanovic-sb.skole.hr;www.os-dragutin-tadijanovic-sb-skole.hr;NA
OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ;Osnovna škola;Matična škola;NA;12-329-001;0-0;Brodsko-posavska;BEBRINA 48B;35254  Bebrina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Rosandić;035/433-106 , 035/433-901;035/433-900;os-bebrina@os-amreljkovic-bebrina.skole.hr;http://os-amreljkovic-bebrina.skole.hr/;  OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Dubočac   , Dubočac 102, 35254 Dubočac ,   OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Banovci   , Banovci 14, 35254 Banovci ,   OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Kaniža   , Kaniža 103, 35254 Kaniža ,   OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Kuti   , Stupnički Kuti 66, 35254 Stupnički Kuti ,   OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Šumeće   , Šumeće 87, 35254 Šumeće ,   OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ - Područna škola Zbjeg   , Zbjeg 67, 35254 Zbjeg
OSNOVNA ŠKOLA VIKTOR CAR EMIN;Osnovna škola;Matična škola;NA;12-331-001;0-0;Brodsko-posavska;Trg kralja Tomislava 8;35214  Donji Andrijevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirta  Degmečić;035/471-102;035/470-160;skola@os-vcemin-donjiandrijevci.skole.hr;http://www.os-vcemin-donjiandrijevci.skole.hr/;  OSNOVNA ŠKOLA VIKTOR CAR EMIN - Područna škola Staro Topolje   , Ive Lole Ribara 69/a, 35214 Staro Topolje ,   OSNOVNA ŠKOLA VIKTOR CAR EMIN - Područna škola Sredanci   , Sredanci 22, 35215 Sredanci ,   OSNOVNA ŠKOLA VIKTOR CAR EMIN - Područna škola Divoševci   , Divoševci 81, 35214 Divoševci
OSNOVNA ŠKOLA AUGUSTA ŠENOE;Osnovna škola;Matična škola;NA;12-332-001;0-0;Brodsko-posavska;Stjepana Radića 3;35222  Gundinci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđica  Vuksanović;035/487-020 , 035/487-020 , 035/487-910;035/487-020;ured@os-asenoe-gundinci.skole.hr;http://os-asenoe-gundinci.skole.hr;NA
OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ;Osnovna škola;Matična škola;NA;12-333-001;0-0;Brodsko-posavska;KRALJA TOMISLAVA 75;35212  Garčin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijela  Erić;035/423-990 , 035/423-990 , 035/423-991 , 035/423-992;035/423-990;ured@os-vklaic-garcin.skole.hr;NA;  OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ - Područna škola Bicko Selo   , BICKO SELO 93, 35212 Bicko Selo ,   OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ - Područna škola Sapci   , SAPCI 25, 35212 Sapci ,   OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ - Područna škola Trnjani   , TRNJANI 98, 35211 Trnjani ,   OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ - Područna škola Klokočevik   , KLOKOČEVIK, PETRA ZRINSKOG 24, 35211 Klokočevik ,   OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ - Područna škola Zadubravlje   , ZADUBRAVLJE, SLAVONSKA 96, 35211 Zadubravlje
Osnovna škola Sibinjskih žrtava;Osnovna škola;Matična škola;NA;12-335-001;0-0;Brodsko-posavska;108. brigade ZNG 4;35252  Sibinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Šišmanović;035/425-297,426-543 , 035/425-297;NA;ured@os-sibinjskihzrtava-sibinj.hr , tajnistvo@os-sibinjskihzrtava-sibinj.skole.hr;NA;  Osnovna škola Sibinjskih žrtava - Područna škola Slobodnica   , Trg Sv.Marka 3, 35252 Slobodnica ,   Osnovna škola Sibinjskih žrtava - Područna škola Stari Slatinik   , Hrvatskih branitelja 155, 35253 Stari Slatinik ,   Osnovna škola Sibinjskih žrtava - Područna škola Gornji Andrijevci   , Gornji Andrijevci 81, 35252 Gornji Andrijevci ,   Osnovna škola Sibinjskih žrtava - Područna škola Ravan   , Ravan 30, 35252 Ravan ,   Osnovna škola Sibinjskih žrtava - Područna škola Grgurevići   , Grgurevići 41, 35252 Grgurevići ,   Osnovna škola Sibinjskih žrtava - Područna škola Grižići   , Grižići 9, 35252 Grižići
OSNOVNA ŠKOLA JOSIP KOZARAC SLAVONSKI ŠAMAC;Osnovna škola;Matična škola;NA;12-336-001;0-0;Brodsko-posavska;TRG STJEPANA RADIĆA 3;35220  Kruševica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Vučić;035/473-106 , 035/473-800;035/473-801;ured@os-jkozarac-slavonski-samac.skole.hr;http://os-jkozarac-slavonski-samac.skole.hr/;NA
Osnovna škola Sikirevci;Osnovna škola;Matična škola;NA;12-336-002;0-0;Brodsko-posavska;Ljudevita Gaja 11;35224  Sikirevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Terezija  Štrljić;035/481-511 , 035/481-406 , 035/481-510;035/481-406;os-sikirevci@os-sikirevci.skole.hr;os-sikirevci.skole.hr;NA
OSNOVNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ;Osnovna škola;Matična škola;NA;12-337-001;0-0;Brodsko-posavska;FRANKOPANSKA 97;35250  Oriovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darija  Jozić Ratković;035/430-070 , 035/430-024 , 035/430-025 , 035/430-026;035/431-017;racunovodstvo@os-silijasevic-oriovac.skole.hr , tajnistvo@os-silijasevic-oriovac.skole.hr ;NA;  OSNOVNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ - Područna škola Slavonski Kobaš   , Ante Starčevića 11, 35255 Slavonski Kobaš ,   OSNOVNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ - Područna škola Brodski Stupnik   , Stjepana Radića 119, 35253 Brodski Stupnik
OSNOVNA ŠKOLA LJUDEVIT GAJ;Osnovna škola;Matična škola;NA;12-337-002;0-0;Brodsko-posavska;VLADIMIRA NAZORA 59;35257  Lužani; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Petar  Delić;035/437-012 , 035/436-224;035/436-224;ured@os-ljgaj-luzani.skole.hr;NA;  OSNOVNA ŠKOLA LJUDEVIT GAJ - Područna škola Živike   , ŽIVIKE 63, 35257 LUŽANI , 35257 Živike ,   OSNOVNA ŠKOLA LJUDEVIT GAJ - Područna škola Ciglenik   , TRG SVETOG MIHOVILA 2 CIGLENIK 35257 LUŽANI, 35250 Ciglenik
OSNOVNA ŠKOLA IVAN MEŠTROVIĆ;Osnovna škola;Matična škola;NA;12-338-001;0-0;Brodsko-posavska;BANA JOSIPA JELAČIĆA 50;35210  Vrpolje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miroslav  Zmaić;035/438-010 , 035/439-145 , 035/409-667 , 035/439-144 , 035/438-018;035/439-145;tajnistvo@os-imestrovic-vrpolje.skole.hr , ured@os-imestrovic-vrpolje.skole.hr;os-imestrovic-vrpolje.skole.hr ;  OSNOVNA ŠKOLA IVAN MEŠTROVIĆ - Područna škola Čajkovci   , Trg dr. Franje Tuđmana 14a, 35210 Čajkovci ,   OSNOVNA ŠKOLA IVAN MEŠTROVIĆ - Područna škola Stari Perkovci   , Ulica Stjepana Radića 21, 35210 Stari Perkovci
OSNOVNA ŠKOLA IVAN FILIPOVIĆ;Osnovna škola;Matična škola;NA;12-339-001;0-0;Brodsko-posavska;TRG PRESVETOG TROJSTVA 15;35221  Velika Kopanica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Flidr;035/477-315 , 035/477-315 , 035/477-902;035/477-315;ured@os-ifilipovic-velikakopanica.skole.hr;www.os-ifilipovic-velikakopanica.skole.hr;  OSNOVNA ŠKOLA IVAN FILIPOVIĆ - Područna škola Beravci   , BERAVCI 79, 35221 Beravci ,   OSNOVNA ŠKOLA IVAN FILIPOVIĆ - Područna škola Jaruge   , JARUGE 53, 35224 Jaruge
Osnovna škola Stjepan Radić Oprisavci;Osnovna škola;Matična škola;NA;12-341-001;0-0;Brodsko-posavska;Trg Svetog Križa 19;35213  Oprisavci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Vukovarac;035/227-122 , 035/227-920 , 035/227-921;035/227-920;ured@os-sradic-oprisavci.skole.hr;NA;  Osnovna škola Stjepan Radić Oprisavci - Područna škola Trnjanski Kuti   , TRNJANSKI KUTI 74, 35213 Trnjanski Kuti ,   Osnovna škola Stjepan Radić Oprisavci - Područna škola Poljanci   , POLJANCI 46, 35213 Poljanci ,   Osnovna škola Stjepan Radić Oprisavci - Područna škola Svilaj   , SVILAJ 18A, 35213 Svilaj ,   Osnovna škola Stjepan Radić Oprisavci - Područna škola Prnjavor   , PRNJAVOR, 35216 Prnjavor ,   Osnovna škola Stjepan Radić Oprisavci - Područna škola Novi Grad   , NOVI GRAD, 35216 Novi Grad ,   Osnovna škola Stjepan Radić Oprisavci - Područna škola Kupina   , KUPINA, 35216 Kupina
Osnovna škola Matija Gubec Cernik;Osnovna škola;Matična škola;NA;12-342-001;0-0;Brodsko-posavska;ŠKOLSKA 20;35404  Cernik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Reza  Benković;035/369-003 , 035/369-456;035/369-003;ured@os-mgubec-cernik.skole.hr;www.os-mgubec-cernik.skole.hr;  Osnovna škola Matija Gubec Cernik - Područna škola Baćin Dol   , BAĆIN DOL 122, 35404 Baćin Dol ,   Osnovna škola Matija Gubec Cernik - Područna škola Opatovac   , Opatovac 30, 35404 Opatovac ,   Osnovna škola Matija Gubec Cernik - Područna škola Podvrško   , Podvrško 48, 35404 Podvrško ,   Osnovna škola Matija Gubec Cernik - Područna škola Cernička Šagovina   , Cernička Šagovina 51, 35404 Šagovina Cernička
Osnovna škola Matija Antun Relković;Osnovna škola;Matična škola;NA;12-343-001;0-0;Brodsko-posavska;Ignjata Brlića 1;35425  Davor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasna  Butumović;035/347-475 , 035/347-114;035/347-115;os-davor@os-mareljkovic-davor.skole.hr;NA;"  Osnovna škola Matija Antun Relković - Područna škola ""Fra Marijan Lanosović"" Orubica   , JOSIPA JURJA STROSSMAYERA 4, 35424 Orubica"
Osnovna škola Dragalić;Osnovna škola;Matična škola;NA;12-344-001;0-0;Brodsko-posavska;Trg svetog Ivana Krstitelja 3;35428  Dragalić; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Francuz;035/376-049 , 035/376-249;035/376-049;skola@os-dragalic.skole.hr;www.os-dragalic.skole.hr;  Osnovna škola Dragalić - Područna škola Gorice   , GORICE 23, 35428 Gorice
