naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječji vrtić ""Zvjezdica mira""";Družba sestara milosrdnica sv. Vinka Paulskog Uprava riječke provincije;Primorsko-goranska županija ;Franje Kresnika 8;Rijeka;051/676-281;zvjezdicamirarijeka@gmail.com;NA
"Dječji vrtić ""Nazaret""";Družba Sestara Presv.Srca Isusova;Primorsko-goranska županija ;Cvetkov trg 5;Rijeka;051/504-644;djecjivrtic.nazaret@gmail.com; PO Mima, Pomerio 13, 51000 Rijeka
"Dječji vrtić ""Mala Vila"", waldorfski";Društvo prijatelja waldorfske pedagogije;Primorsko-goranska županija ;Zametska 6/1;Rijeka;051/642-306;d.v.malavila@gmail.com;NA
"Dječji vrtić ""Mali princ""";Sandra Cikač Stjepić;Primorsko-goranska županija ;Meštrovićeva 24;Rijeka;099 / 22 38 208;mali.princ@ri.t-com.hr; PO Mala sirena, Braće Fućak 5c,  
Dječji vrtić Neven Rovinj-Rovigno-Giardino dinfanzia Neven Rovinj-Rovigno;Grad Rovinj;Istarska županija ;Ulica Fontera 31;Rovinj;052/811-217;informacije@dv-neven.hr; PO Valbruna, G.Privileggia Pascia 2, 52210 Rovinj ,  PO Mondelaco, Roia 1, 52210 Rovinj ,  PO Rovinjsko Selo, Stjepana Žiže 69, 52210 Rovinjsko Selo ,  PO Kanfanar, Istarska 12, 52352 KANFANAR ,  PO Bale, D.Cernecca 3, 52211 Bale ,  PO Lamanova, Giovanni Dapiran 7, 52210 Rovinj
"Talijanski dječji vrtić - Giardino d'infanzia italiano ""Naridola"" Rovinj - Rovigno";Grad Rovinj;Istarska županija ;Omladinska 20;Rovinj;052/830-138;dv-gi-naridola@pu.htnet.hr; PO Bale, D.Cernecca 3, 52211 Bale
"Dječji vrtić ""Palčica""";Kristina Manjkas;Bjelovarsko-bilogorska županija ;Trg hrvatskih branit;Rovišće;043/228-517, 095/907-8062;kristina.manjkas@gmail.com;NA
"Dječji vrtić ""Runović""";Općina Runovići , OPĆINA RUNOVIĆI;Splitsko-dalmatinska županija ;Runović bb;Runović;021/849-701;djecjivrticrunovic@gmail.com;NA
"Dječji vrtić ""Orkulice""";Općina Sali;Zadarska županija ;Ulica sv. Marije b.b.;Sali;023/377-253;orkulicesali30@gmail.com; PO Žman, Žman, 23282 Žman
Dječji vrtić Grigor Vitez;GRAD SAMOBOR;Zagrebačka županija ;Ulica Ivana Perkovca 88/1;Samobor;013361 779      01 3360 530;dvgv.tajnistvo@gmail.com; PO Galgovo, M. BOGOVIĆA 3, 10435 GALGOVO ,  PO Kladje, Mirnovečka c. 23, 10430 Samobor ,  PO Sudnikova, Ulica Ivice Sudnika 3, 10430 Samobor ,  PO Kovačićeva, Željka Kovačića 4, 10430 Samobor ,  Područni objekt Prepelica , Ulica Stara Karlovačak 6 a,  
"Dječji vrtić ""Izvor""";Grad Samobor;Zagrebačka županija ;Gustava Krkleca 2;Samobor;01 3362 033;dv.izvor.samobor@gmail.com; PO Bregana I, Ulica Grigora Viteza, 10432 Bregana ,  PO Mlinska, Mlinska 16a, 10430 Samobor ,  PO Celine, Celine , Celine Samoborske 34, 10430 Samobor ,  PO Hrastina, Petrova 24,  
"Dječji vrtić ""Osmijeh""";Ljuba Mihaljević , Ljuba Mihaljević;Zagrebačka županija ;Hrastina 36;Samobor;01/3380-195;djecji.vrtic.osmijeh@zg.t-com.hr; PO Sveta Nedelja, Dr. Franje Tuđmana 17, 10431 Sveta Nedelja
Udruga za poticanje ranog učenja stranih jezika i glazbe ULICA ZNANJA ;NA;Zagrebačka županija ;Josipa Jelačića 155;Samobor;0981776094;ulica.znanja@gmail.com;NA
Dječji vrtić Dječji grad;Andrea Batarilo;Zagrebačka županija ;Maksa Puša 1;Samobor;091 1638 420;"andrea.batarilo@dv-djecjigrad.com; andrea.batarilo@kindergarten.hr";NA
Udruga LITTERA Centar za neuroedukaciju i razvoj;Littera d.o.o.;Zagrebačka županija ;Šmidhenova 20;Samobor;"01 33 63 170  ; 091 33 63 170";info@littera.hr;NA
"Udruga Športski klub ""Unisport-Samobor""";Saša Kolman;Zagrebačka županija ;Ulica Ivana Perkovca 90;Samobor;091 7247 211, 098 1633 949;"skolman@inet.hr; andreja.popovic@yahoo.com";NA
Dječji vrtić Mali prijatelji;Colo d.o.o. (Marija i Mirko Mišetić);Zagrebačka županija ;Marka Vukasovića 19a;Samobor;0914553784;maliprijatelji.samobor@gmail.com;NA
Dječji vrtić Petar Pan Satnica Đakovačka;Općina Satnica Đakovačka;Osječko-baranjska županija ;Ante Starčevića 26;Satnica Đakovačka;031/852 122;dvpetarpan.satnicadjakovacka@gmail.com;NA
"Dječji vrtić ""Tratinčica""";Općina Seget Donji , OPĆINA SEGET;Splitsko-dalmatinska županija ;Hrvatskih žrtava bb;Seget Donji;021 880-494;ravnateljica@djecjivrtictratincica.hr;NA
"Dječji vrtić ""Sveta Marija Magdalena""";SISAČKA BISKUPIJA;Sisačko-moslavačka županija ;Sela 118;Sela;044/776-062;vrtic@biskupija-sisak.hr;NA
"Dječji vrtić ""Selca""";Općina Selca;Splitsko-dalmatinska županija ;Šetalište Rajka Štambuka 5;Selca;021/622-102;ravnateljica@djecjivrticselca.hr; PO Povlja, Velike skale 1,  
"Dječji vrtić ""Sunčeko""";SNJEŽANA DONIČAR ZADRAVEC;Međimurska županija ;FRANKOPANSKA1;Selnica;+38540861461;snjeska.d.z@gmail.com;" PO ""Pahuljica"", Frankopanska 18, 40315 MURSKO SREDIŠĆE"
Selnički zvončići ;NA;Međimurska županija ;Bukovčak 1C;Selnica;0998412136;NA;NA
"Dječji vrtić ""Hlapić"" Semeljci";Općina Semeljci;Osječko-baranjska županija ;Kolodvorska 2B;Semeljci;031/239114;info@hlapic.semeljci.hr;NA
Program predškole pri OŠ Josipa Kozarca Semeljci;Općina Semeljci , Općina Viškovci;Osječko-baranjska županija ;Školska 21;Semeljci;"031/856-081: 856 840; 856 855";skola@os-jkozarca-semeljci.skole.hr; PO Vučevci, I. L. Ribara 50, 31402 Vučevci
"DV ""Travica""";Grad Senj;Ličko-senjska županija ;Ul. Milutina Cihlara Nehajeva 1;Senj;053/881-313;vrtictravica@gmail.com;NA
"Dječji vrtić ""En ten tini""";Grad Zagreb;Grad Zagreb;144.brigade Hrvatske;Sesvete;01/5580133;vrtic-ententini@zagreb.hr; PO En ten tini, 144. brigade Hrvatske vojske 2, 10360 Sesvete
"Dječji vrtić ""Šegrt Hlapić""";GRAD ZAGREB;Grad Zagreb;Ul. Dobriše Cesarića;Sesvete;01/2043-970;" vrtic.segrthlapic@zagreb.hr;"; PO Sesvetska Sela, Voćinska 1, Sesvetska Sela, 10360 Sesvete ,  PO Sesvetski Kraljevec - Šenoe 42, Augusta Šenoe 42, Se, 10361 Sesvete ,  PO Sesvetski Kraljevec - Šenoe 50, Augusta Šenoe 50, Se, 10361 Sesvete ,  PO Sesvetski Kraljevec - Petra Svačića, Petra Svačića 5, Ses, 10361 Sesvete ,  PO Sesvetski Kreljevec - D. Mitića 4, Dragutina Mitića 4, 10361 Sesvetski Kraljevec
"Dječji vrtić ""Baltazar""";Željko Buči;Grad Zagreb;Don Frane Bulića 23a;Sesvete;091/2400017;vrtic.baltazar@gmail.com;NA
"Dječji vrtić ""Zvončica""";Radmila Rukavina;Grad Zagreb;Trg Lovre Matačića 9;Sesvete;01/2001-516;djecji.vrtic.zvoncica@zg.t-com.hr;NA
"Dječji vrtić ""Mačak Paško""";UČILIŠTE EDUKA SAVJET;Grad Zagreb;Kašinska 32;Sesvete;01/2049-764;dv.macakpasko@gmail.com;NA
"Dječji vrtić ""Leptir""";Grad Zagreb;Grad Zagreb;Ivana Gorana Kovačića 20;Sesvete;01/2002-321;vrtic.leptir@zagreb.hr; PO Varaždinska 42, Varaždinska 42, 10360 Sesvete ,  PO Sesvetska Sopnica, Sopnička 69, 10360 Sesvete ,  PO Dragutina Domjanića, Trg Dragutina Domjanića 10, 10360 Sesvete
Dječji vrtić Sesvete;GRAD ZAGREB , ;Grad Zagreb;Ive Tijardovića 9;Sesvete;01/2022-720;vrtic.sesvete@zagreb.hr; Područni vrtić Novo Brestje, Potočnica 6, 10360 Sesvete ,  Područni vrtić Prekvršje, Prigorska 59, 10362 Prekvršje ,  Područni vrtić Brestovečka, Brestovečka 10, 10360 Sesvete ,  Područni vrtić J. Miše, Jerolima Miše 24, 10360 Sesvete ,  Područni vrtić Đurđekovec, Augusta Šenoe 26a,  
"Dječji vrtić ""KOKO""";Robert Rudelić , Robert Rudelić;Grad Zagreb;Stubička 18/1;Sesvete;01/2000 144;koko.vrtic@gmail.com;NA
"Dječji vrtić ""Vesela pandica""";Jadranka Matica;Grad Zagreb;Pere Pirkera, II. odvojak 19;Sesvete;01 5807 777;dvpandica@gmail.com; PO Roda, Zagrebačka 1,  
Kraći program pri Udruzi Kud Palična;Kud Palična;Bjelovarsko-bilogorska županija ;Severin bb;Severin;0911266667;kud@kud-palicna.hr;NA
"Dječji vrtić ""Sibinj""";Općina Sibinj;Brodsko-posavska županija ;Trg kralja Tomislava 7;Sibinj;035/438-095;vrtic.sibinj@gmail.com;NA
"Dječji vrtić ""Bili Cvitak""";Grad Sinj , Grad Sinj;Splitsko-dalmatinska županija ;Ante Konstantina Matasa 8;Sinj;021/825-617;"djecji.vrtic.bili.cvitak.sinj@st.t-com.hr; dolic.nediljka11@gmail.com"; PO Alkarić, BRNAZE 5, 21230 SINJ ,  PO Maslačak, KNEZA BRANIMIRA 3, 21230 SINJ ,  PO Vrapčić, BRNAZE 430, 21230 SINJ ,  PO Potočnica, GLAVICE, 21230 SINJ ,  PO Ljiljan, Turjaci 22 A,  
Program predškolskog odgoja pri OŠ Sirač;BBŽ OSNIVAČ, FINANCIRA OPĆINA SIRAČ;Bjelovarsko-bilogorska županija ;Ul. Vladimira Nazora;Sirač;043/442-005;skola@os-sirac.skole.hr;NA
"Kraći program predškolskog odgoja pri glazbenoj školi ""Fran Lhotka""";Sisačko-moslavačka županija;Sisačko-moslavačka županija ;Trg Ljudevita Posavskog 2;Sisak;044/548528;gsfranalhotke@gmail.com;NA
"Dječji vrtić ""Sisak Stari""";Grad Sisak;Sisačko-moslavačka županija ;Lonjska ulica 19;Sisak;044/400-315;dvsisakstari@optinet.hr; PO Bubamara, Ivana Meštrovića 2, 44000 Sisak ,  PO Pčelica, Antuna Cuvaja 3, 44000 Sisak ,  PO Potočnica , Greda 140a, 44000 Sisak ,  PO Ciciban, Oktavijana Augusta 1,  
"Dječji vrtić ""Sisak novi""";Grad Sisak;Sisačko-moslavačka županija ;Ulica hrvatskog narodnog preporoda 33;Sisak;044/537-839;djecjivrtic.sisaknovi@sk.t-com.hr;" PO Radost, Hrvatskog narodnog p, 44010 Sisak ,  PO Tratinčica, Nikole Šubića Zrinskog 23, 44000 Sisak ,  PO Sunce, Gustava Krkleca 19, 44000 Sisak ,  PO Opća bolnica ""Dr. Ivo Pedišić"", J.J.Strossmayera 59, 44000 Sisak"
Dječji vrtić Skradin;Grad Skradin;Šibensko-kninska županija ;Put Križa 1A;Skradin;022/771636;djecjivrticskradin@gmail.com;NA
"Dječji vrtić ""Slano""";Općina Dubrovačko primorje , Općina Dubrovačko primorje;Dubrovačko-neretvanska županija ;Trg R. Boškovića 1;Slano;020/871-023;djecji.vrtic.slano@du.t-com.hr; PO Ošlje, Gornje Selo bb, 20205 Ošlje
"Dječji vrtić ""Zeko""";Grad Slatina;Virovitičko-podravska županija ;Trg Zbora narodne garde bb;Slatina;033/551-284;djecji.vrtic.zeko@gmail.com;NA
Glazbena škola Milka Kelemena ;grad Slatina;Virovitičko-podravska županija ;Braće Radića 4;Slatina;033/550-854;glazbenamilkakelemena.sl@optinet.hr;NA
"DV ""Suncokret""";Snježana Dupan-Lovrić i Ivica Lovrić;Virovitičko-podravska županija ;Ribnjak 16;Slatina;033/401-414;djecji.vrtic.suncokret@vt.t-com.hr; PO Mikleuš, Školska kbr.13,  
"DV ""Cekin""";" , Karitativno društvo ""Kruh svetog Ante""";Brodsko-posavska županija ;Vinogorska 115;Slavonski Brod;035/465-408;cekindjecjivrtic@gmail.com;NA
"Dječji vrtić ""Ivana Brlić Mažuranić""";Grad Slavonski Brod;Brodsko-posavska županija ;Naselje Andrije Hebranga bb;Slavonski Brod;035/446-014;dv-slav.brod@sb.t-com.hr; PO Pčelica, Borovska 5, 35000 Slavonsk Brod ,  PO Kosjenka, Aleja Miroslava Krle, 35000 Slavonsk Brod ,  PO Maslačak, Trg sv. Antuna bb, 350107 Podvinje ,  PO Radost, Mikrorajon bb, 35000 Slavonski Brod ,  PO Seka i braco, Tomislavov trg bb, 35000 Slavonski Brod ,  PO Stribor, Mile Budaka bb, 35000 Slavonski Brod ,  PO Trnoružica, Gundulićeva bb, 35000 Slavonski Brod ,  PO Hlapić, Naselje Andrija Hebrang 11/1, 35000 Slavonski Brod ,  PO Tintilinić, Anastasa Popovića 40,  
"Dječji vrtić ""POTJEH""";Grad Slavonski Brod;Brodsko-posavska županija ;Moslavačka 42;Slavonski Brod;0358901435;dvpotjeh@gmail.com; PO Gita, Augustina Kažotića bb,   ,  PO Palunko, Stanka Vraza 2A,  
"Dječji vrtić ""Lira""";Ljiljana Bošnjak;Brodsko-posavska županija ;Josipa Kozarca 31;Slavonski Brod;035 448 159;glazbeno@globalnet.hr;NA
"Dječji vrtić ""Slunj""";Grad Slunj;Karlovačka županija ;Kralja Zvonimira 9;Slunjčica;047/777-576, 047 410-668; vrtic-slunj@h-1.hr; PO Pčelice, Selište Drežničko 1,  
"Dječji vrtić ""Bambi""";Tamara Bartolić;Dubrovačko-neretvanska županija ;Smokvica bb;Smokvica;020/831014;tami10@net.hr;NA
Program predškole pri OŠ Sokolovac;općina;Koprivničko-križevačka županija ;Trg dr. Tomislava Bardeka 10;Sokolovac;048 838 068;ured@os-sokolovac.skole.hr;NA
"Dječji vrtić ""Mala sirena""";Anita Sedlar;Splitsko-dalmatinska županija ;Put Majdana 28;Solin;021/260-561;mala.sirena.solin@gmail.com; PO Stjepana Radića 40, Stjepana Radića 40,  
"Dječji vrtić ""Cvrčak""";Grad Solin, Općine Klis, Dugopolje, Muć;Splitsko-dalmatinska županija ;Ulica kralja Zvonimira 71;Solin;"021/213-309 ; 091/438-1000";info@djecjivrtic-cvrcaksolin.hr;" PO Tratinčica, Don Lovre Katića 58, 21210 Solin ,  PO Škrinjica Solin I., Put Majdana 10, 21210 Solin ,  PO Paun Solin II., Zvonimirova 125, 21210 Solin ,  PO Salona, Put stare Salone bb, 21210 Solin ,  PO Vjeverica, A. Starčevića 125, 21210 Solin ,  PO Sunčica, Kralja Petra Krešimira IV 78, 21210 Solin ,  PO Labud, Hektorovićeva 38, 21210 Solin ,  PO Papaline, Obala pomorca 51, 21211 Vranjic ,  PO Krijesnica, D. Markovića bb, 21209 Kučine ,  PO Maslina, Marka Marulića bb, 21209 Mravinci ,  PO Patkica, Gašpina mlinica 10, 21210 Solin ,  PO Sv. Roko, Put sv.Ante 31, 21231 Klis ,  PO Maslačak, Ante Starčevića 4, 21204 Dugopolje ,  PO Pinokio, Donji Muć 185, 21203 Donji Muć ,  PO Sveti Ante, Ivana Pavla II 100, 21231 Prugovo ,  PO ""Bubamara"", Braće Radić 29, 21210 Solin ,  PO Sv. Anastazije, Svetog Nikole 10, 21210 Solin ,  PO Jadro, Marka Marulića 24, 21210 Solin ,  PO Petar Pan, Neorić 51,   ,  Područni objekt ""Gabrijel"" , Put mira 9,  "
"Dječji vrtić ""Pipi Duga Čarapa""";mirjana karabatić;Splitsko-dalmatinska županija ;Ulica Kralja Zvonimira 75;Solin;021/245-036;pipi-solin@net.hr;NA
"Dječji vrtić ""Šareni leptirić""";Loreta Đopar;Splitsko-dalmatinska županija ;Domovinskog rata 28A;Solin;021/785-455;dopar.loreta@gmail.com;NA
Program predškole pri OŠ Josip Kozarac Soljani;Općina Vrbanja;Vukovarsko-srijemska  županija ;Tomislavova 5a;Soljani;032/865-018;ured@os-jkozarac-soljani.skole.hr; PO Strošinci, V. Nazora 44, 32256 Strošinci
Program predškolskog odgoja pri IKEA Hrvatska d.o.o.;IKEA Hrvatska d.o.o.;Zagrebačka županija ;Alfreda Nobela 2;Sop;01/4455-906, 091/6053-514;danijela.bacicreljic@ikea.com;NA
Dječji vrtić Bambi Sopje;Općina Sopje;Virovitičko-podravska županija ;Kralja Tomislava 6;Sopje;033/500-142;bambisopje@gmail.com;NA
Dječji vrtić BAJKA;Ivanka Ninčević;Splitsko-dalmatinska županija ;Drinskih mučenica 10;Split;021/374-752;ivanka.nincevic@gmail.com;NA
"Dječji vrtić ""MALI DUPIN""";"Udruga ""Anđeli""";Splitsko-dalmatinska županija ;Šibenska 37;Split;021 569 561;anka@andjeli.hr;NA
"Dječji vrtić ""Radost""";Grad Split;Splitsko-dalmatinska županija ;Hercegovačka 22;Split;021/541 170;dv_radost@vrtic-radost.hr; PO Srećica, Hercegovačka 22, 21000 Split ,  PO Bubamara, Hercegovačka 42, 21000 Split ,  PO Šareni svijet, Vrlička 34, 21000 Split ,  PO Veseli patuljci, Kupreška 90, 21000 Split ,  PO Pluton, Petravićeva 19, 21000 Split ,  PO Popaj, Benkovačka 2, 21000 Split ,  PO Latica, Vitezovićeva 5, 21000 Split ,  PO Iskrica, Vrh Visoke 2, 21000 Split ,  PO Petar Pan, Getaldićeva 30 a, 21000 Split ,  PO Margaritela, Mali put 34-Kamen Šine, 21000 Split ,  PO Cvrčak, Mejaši 19, 21000 Split ,  PO Trešnjica, Ante Starčevića 25, 21251 Žrnovnica ,  PO Tratinčica, Krešimirova 46, 21251 Žrnovnica ,  PO Višnjica, Dioklecijanov put 40, 21292 Srinjine ,  PO Smokvica, Sv. Mihovila 50, 21000 Split ,  PO Morski konjić, Put porta 9, 21224 Slatine ,  PO Nešpulica, Kupreška 14, 21000 Split ,  PO Nevica, Mostarska 21, 21000 Split ,  PO Pinokio, Šegedinova 18, 21000 Split ,  PO Maslina, Grabova 9A/9B,  
"Dječji vrtić ""Grigor Vitez""";Grad Split;Splitsko-dalmatinska županija ;Kliška 4;Split;021/362721     360005      344;vrtic@dv-grigorvitez.hr; PO Frulica, Ul. Slobode 32, 21000 split ,  PO Golubica, Velebitska 16, 21000 Split ,  PO Zvončica, Smiljanićeva 4, 21000 Split ,  PO Adriana, Kliška 4, 21000 Split ,  PO Mala Sirena, Kneza Višeslava 24, 21000 Split ,  PO Vila Velebita, Ljudevita Posavskog 10, 21000 Split ,  PO Rašeljka, Mažuranićevo šetališta 21, 21000 Split ,  PO Sretni Princ, Ul. Slobode 34, 21000 Split ,  PO Dva prijatelja, Washingtonova 3, 21000 Split ,  PO Snjeguljica, Držićeva 6, 21000 Split ,  PO Zlatna ribica, Osječka 60, 21000 Split ,  PO Lavanda, Vukovarska 45, 21000 Split ,  PO Slavuj, Osječka 38, 21000 Split ,  PO Milo dijete, Valpovačka 15, 21000 Split ,  PO Ivančica, Valpovačka 2, 21000 Split ,  PO Vedri dani, Požeška 1, 21000 Split ,  PO Mali Princ, Slavonska 8, 21000 Split ,  PO Drveni lutak, Velebitska 18, 21000 Split ,  PO Duga, Mažuranićevo šetalište 36, 21000 Split ,  PO Maslačak, Mažuranićevo šetalište 36, 21000 Split
"Dječji vrtić ""Marjan""";Grad Split , ;Splitsko-dalmatinska županija ;Put Sv. Mande 11;Split;021/396-275 / 396 276;dv-marjan@st.t-com.hr; PO Tamarin, Nazorov prilaz 2, 21000 Split ,  PO Kaštelet, Tonča Petrasova Marovića 4, 21000 Split ,  PO Ciciban, Put Meja 1, 21000 Split ,  PO Kekec, Fra Bonina 5, 21000 Split ,  PO Grdelin, Teslina 19, 21000 Split ,  PO Gajeta, Jobova 20, 21000 Split ,  PO Koralj, Put Skalica 11, 21000 Split ,  PO Veseli dani, Starčevićeva 32, 21000 Split ,  PO Pčelica, Lovretska 13, 21000 Split ,  PO Pahuljica, Sukoišanska 11, 21000 Split ,  PO Potočnica I., Domovinskog rata 60, 21000 Split ,  PO Potočnica II., Tršćanska 25, 21000 Split ,  PO Grohote, Šoltanskih žrtava 3, 21430 Grohote O. Šolta ,  PO Crvenkapica, Plančićeva 6 i 8, 21000 Split
"Dječji vrtić ""Montessori Dječja kuća""";Hrvatska udruga  Montessori pedagogije  , Hrvatska udruga Montessori pedagogije ;Splitsko-dalmatinska županija ;Viška ulica 7;Split;091/4423321;montessori.djecja.kuca.split@gmail.com; PO Montessori Dječja kuća I., Viška 7, 21000 Split
"Dječji vrtić ""Disneyland""";Ivanka Vukorepa;Splitsko-dalmatinska županija ;Pujanke 22;Split;098274207;ivanka_vukorepa0507@net.hr; PO Getaldićeva, Getaldićeva 40, 21000 Split
"Dječji vrtić ""Calimero""";Vjekoslav Krželj;Splitsko-dalmatinska županija ;Vrazova 31;Split;021/473-730;calimero@st.t-com.hr; PO Solin, Poljaci 21 A, 21210 Solin
"Dječji vrtić ""Duga""";Brankica Padovan;Splitsko-dalmatinska županija ;Put Skalica 47;Split;021/207-081;brankica.padovan@gmail.com;NA
"DV ""Princeza""";Đina Milović;Splitsko-dalmatinska županija ;Ul. Ivana Kukuljevića Sakcinskog 5;Split;021/567-234;djecji.vrtic.princeza@gmail.com; PO Trstenik, Bračka 17, 21000 Split ,  PO Brda, Širokobriješka 1, 21000 Split
"Dječji vrtić ""Kremenko""";Ana Grizelj  , ;Splitsko-dalmatinska županija ;Put Svetog Lovre 20;Split;021/320-689;info@kremenkovrtic.hr;NA
"Dječji vrtić ""Čarobni Pianino"" ";Virna Mudnić;Splitsko-dalmatinska županija ;Ul. Velimira Terzića 9 ;Split;091/3956741;dv.carobnipianino@gmail.com; PO Kaštel Gomilica, Fra Fulgencija Carev, 21213 Kaštel Gomilica ,  Po Kaštel Stari, Grgura Ninskog 12, 21216 Kaštel Stari ,  PO Omiš, Put Ribnjaka 9, 21310 Omiš ,  PO Č. Pianino u Sinju, Tripalov voćnjak 2, 21230 Sinj ,  PO Solin, Barišići 1a, 21210 Solin ,  PO Kaštel Lukšić, Hradec Kralove 4, 21215 Kaštel Lukšić ,  PO Resnik, Njiva Sv. Petra 15, 21217 Resnik ,  PO Obrovac Sinjski, Terzićeva 9,   ,  PO Grohote, otok Šolta, Podkuća 31,   ,  PO Kaštel Novi - Rudine, Put Ričvice 7,   ,  PO Kaštel Gomilica II. , Milinkovo 24 ,   ,  PO Mejaši, Ulica 141. brigade 37,  
Dječji vrtić Dobri;Provincijalat Službenica milosrđa;Splitsko-dalmatinska županija ;Ćiril Metodova ulica 14;Split;021/487-168;vrticdobri@gmail.com; Dječji vrtić Dobri Vrbovec, F. K. Frankopana 5, 10240 Vrbovec ,  Dječji vrtić Dobri Zagreb, Gosposvetska 33, 10000 zagreb
"Dječji vrtić ""Sv. Pavla Apostola""";Župa sv. Pavla, Nadbiskupija Splitsko-makarska;Splitsko-dalmatinska županija ;Pujanke 14;Split;021/376-480;sv.pavlaapostola@gmail.com;NA
"Dječji vrtić ""Vrtuljak""";Helena Zaradić;Splitsko-dalmatinska županija ;Doverska 22;Split;021/467-920;djecjivrtic.vrtuljak@yahoo.com; PO Domovinskog rata, Domovinskog rata 6, 21312 Podstrana ,  PO Sv. Martin, Sv. Martin 15, 21312 Podstrana ,  PO Zadvarje, Ulica sv. Kate 28, 21255 Zadvarje ,  PO Šestanovac, Dr. F. Tuđmana 61,  
"Dječji vrtić ""Smokvica""";Rea Laura;Splitsko-dalmatinska županija ;Put Duilova 8b;Split;021 316 922, 098/958-92-43;dv.smokvica0@gmail.com;NA
"Dječji vrtić ""Pčelica Maja""";Ana Zaboš;Splitsko-dalmatinska županija ;Pujanke 32;Split;021/377-688;dvpcelicamaja@gmail.com;NA
"Waldorfski dječji vrtić ""Iskrica""";Društvo Waldorf pedagogije, Split;Splitsko-dalmatinska županija ;Put Trstenika 1;Split;021/465-193;waldorfskivrticiskrica@gmail.com;NA
"Dječji vrtić ""Mali Cvijetak""";Elizabeta Rakidžija;Splitsko-dalmatinska županija ;Ulica Gradišćanskih Hrvata 20;Split;"021/276398; 021/276398";malicvijetaksplit@gmail.com; PO Ninska, Ninska 48, 21000 Split
"Dječji vrtić ""Hugo""";Ilda Guć;Splitsko-dalmatinska županija ;Ulica baruna Franje Trenka 39;Split;021/326-888;djecjivrtichugo@hotmail.com;NA
"Dječji vrtić ""Školjkica""";Dijana Jukić;Splitsko-dalmatinska županija ;Ulica blaženog Ivana Merza 5;Split;021/374 791;d.v.skoljkica@gmail.com;NA
Dječji vrtić Cvit mediterana;Grad Spit;Splitsko-dalmatinska županija ;Tršćanska 29;Split;021/ 347 710;dv_cvit_mediterana@net.hr; PO BOSILJAK, Osječka 24c, 21000 Split ,  PO MIKI, Osječka 12, 21000 Split ,  PO SUNČICA, Šižgorićeva 34, 21000 Split ,  PO PALČIĆ, Osječka 3, 21000 Split ,  PO ŠVRČO, Uskočka 11, 21000 Split ,  PO LASTA, Šižgorićeva 2, 21000 Split ,  PO GRLICA, Stepinčeva 16, 21000 Split ,  PO MIRTA, Trg Mihovila Pavlinovića 7, 21000 Split ,  PO ZVONČIĆ, Hektorovićeva 36, 21000 Split ,  PO MORE, A.B. Šimića 16, 21000 Split ,  PO GARIFUL, Doverska 42, 21000 Split ,  PO RUŽMARIN, Šime Ljubića 22, 21000 Split ,  PO RUSULICA, Stepinčeva 73, 21000 Split ,  PO MIMOZA, Gospinica 21a, 21000 Split ,  PO AGAVA, Jure Kaštelana 19, 21000 Split ,  PO VRAPČIĆ, Matice hrvatske 25, 21000 Split ,  PO MURTILICA, Šoltanska 3, 21000 Split ,  PO OBLUTAK, Poljička cesta 21, 21000 Split ,  PO BRNISTRA, Žnjanska 10, 21000 Split ,  PO GALEB, Stepinćeva 59,  
"Dječji vrtić ""Stankovci""";Općina Stankovci;Zadarska županija ;Stankovci bb;Stankovci;023/380-039;petrakambertokic16@gmail.com;NA
"Dječji vrtić ""Sardelice""";Grad Stari Grad;Splitsko-dalmatinska županija ;Pape Ivana Pavla II ;Stari Grad;021/765-118; djecji.vrtic.sardelice@st.t-com.hr; PO Vrbanj,  DOM MATIJE IVANIĆA , 21462 VRBANJ
Dječji vrtić Krijesnica Jankovci;Općina Stari Jankovci;Vukovarsko-srijemska  županija ;Naselje Ruđera Boško;Stari Jankovci;032/540281;krijesnica.jankovci@gmail.com;NA
"PU ""Vedri dani""";općina Stari Mikanovci;Vukovarsko-srijemska  županija ;Školska 15;Stari Mikanovci;032/210-056;vrtic.vedridani@vu.t-com.hr;NA
"Dječji vrtić ""Osmjeh""";Općina Starigrad;Zadarska županija ;Jurja Barakovića 2a;Starigrad;023369070;dv.osmjeh@gmail.com;NA
"Dječji vrtić ""Veseli kutak""";Ljubica Gale;Splitsko-dalmatinska županija ;Klanci 1;Stobreč;021/326-200;dvveselikutak@gmail.com, zlatkogale@gmail.com, antonela.pjevac@gmail.com;NA
"Dječji vrtić ""Antonija""";Marija Đikić;Splitsko-dalmatinska županija ;Cetinska 17;Stobreč;021/325-454;dvantonija@hotmail.com;NA
"DV ""Tikvica""";Draženka Žganec;Međimurska županija ;Ulica Josipa Horvata Zdelara bb;Strahoninec;040/333-442;dv-tikvica@hotmail.com;NA
Dječji vrtić Suncokret;Općina Strahoninec;Međimurska županija ;Josipa Horvata Zdelara 2a;Strahoninec;040/333-442;info@dvsuncokret.hr;NA
Dječji vrtić Bajka Strizivojna ;Općina Strizivojna;Osječko-baranjska županija ;Braće Radića 170;Strizivojna;098/967 6092;ravnateljica@djecjivrticbajka.hr;NA
