naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
ISUSOVAČKA KLASIČNA GIMNAZIJA S PRAVOM JAVNOSTI U OSIJEKU;Srednja škola;14-060-521;Osječko-baranjska;TRG VATROSLAVA LISINSKOG 1;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sebastian  Šujević;031/215-120 , 031/215-120 , 031/215-121 , 031/215-124;031/215-123;ikg@ikg.hr , ured@gimnazija-isusovackaspravomjavnosti-os.skole.hr;http://www.ikg.hr
GAUDEAMUS, prva privatna srednja škola u Osijeku s pravom javnosti;Srednja škola;14-060-522;Osječko-baranjska;ŠKOLSKA 6;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Adrijana  Krkalo;031/212-890 , 031/212-890 , 031/212-890;031/212-890;gaudeamus.osijek@gmail.com , gaudeamus@gaudeamus.hr;www.gaudeamus.hr
GLAZBENA ŠKOLA FRANJE KUHAČA Osijek;Osnovna škola, Srednja škola, Umjetnička škola;14-060-520;Osječko-baranjska;TRG SVETOG TROJSTVA 1;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sunčana  Bašić;099 327-03-03 , 099 327-03-04 , 091 2000-438 , 031/211-064, 211-422;031/215-661;gsfko@ogs-fkuhaca-os.skole.hr , gsfk@gsfk-osijek.hr ,  gsfk@gsfk-osijek.hr;www.gsfk-osijek.hr
PROSVJETNO-KULTURNI CENTAR MAĐARA U REPUBLICI HRVATSKOJ;Osnovna škola, Srednja škola;14-060-021;Osječko-baranjska;DRINSKA 12/A;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Janoš  Andoči;031/ 274 - 339 , 031/274-339, lokal 2 , 031/274-340, 031/274-339 lokal  1     ;031/ 275 - 265, 031/ 274 - 921;hmomk@pkcm.hr , ravnatelj@pkcm.hr;www.pkcm.hr
SREDNJA ŠKOLA OTOČAC;Srednja škola;09-061-501;Ličko-senjska;ĆIRILA I METODA 2;53220  Otočac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Adela  Rukavina;053/771-209 , 053/617-727 , 053-746-056 , 053-746-055 , 053-617-711 , 053-771-335 , 053/771-133 , 053/771-134 , 053/773-315;053/771-133;ured@ss-otocac.skole.hr;NA
SREDNJA ŠKOLA BARTULA KAŠIĆA;Srednja škola;13-063-501;Zadarska;ANTE STARČEVIĆA 9;23250  Pag; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Pećirko;023/611-720 , 023/611-720;023/600-270;ured@ss-bkasica-pag.skole.hr;http://www.ss-bkasica-pag.skole.hr
Srednja škola Pakrac;Srednja škola;11-064-501;Požeško-slavonska;Bolnička 59;34550  Pakrac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Čilić;034/440-003 , 034/411-046 , 034/440-001;034/440-008;ravnatelj@ss-pakrac.skole.hr , vsmjene@ss-pakrac.skole.hr;http://www.sspakrac.hr
Gimnazija i strukovna škola Jurja Dobrile, Pazin;Srednja škola;18-065-501;Istarska;ŠETALIŠTE PAZINSKE GIMNAZIJE 11;52000  Pazin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Suzana  Poropat-Božac;052/624-017 , 052/624-017 , 052/624-184;052/624-226;gssjd@gssjd.hr;www.gssjd.hr
PAZINSKI KOLEGIJ - KLASIČNA GIMNAZIJA PAZIN s pravom javnosti;Srednja škola;18-065-502;Istarska;J. DOBRILE 6;52000  Pazin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;052/624-505 , 052/624-505 , 052/624-649;052/624-224;kolegij@pazinski-kolegij.hr , ured@gimnazija-klasicna-pazinskikolegij.skole.hr;NA
SREDNJA ŠKOLA PETRINJA;Srednja škola;03-066-501;Sisačko-moslavačka;GUNDULIĆEVA 3;44250  Petrinja; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milan  Orlić;044/812-141 , 044/814-142;044/812-141;tajnistvo.ss.petrinja@gmail.com  , ravnatelj@ss-petrinja.skole.hr;NA
Srednja Škola Stjepana Sulimanca;Srednja škola;10-317-501;Virovitičko-podravska;Dravska 41;33405  Pitomača; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Ivoš;033/801-571 , 09 11 77 55 00 , 09 11 77 55 01 , 09 11 77 55 02 , 09 11 77 55 03 , 033/782-442;033/801-434;ravnatelj@ss-stjepana-sulimanca.skole.hr , tajnistvo@ss-stjepana-sulimanca.skole.hr , racunovodstvo@ss-stjepana-sulimanca.skole.hr , psiholog@ss-stjepana-sulimanca.skole.hr , ured@ss-stjepana-sulimanca.skole.hr;http://www.ss-stjepana-sulimanca.skole.hr
SREDNJA ŠKOLA FRA ANDRIJE KAČIĆA MIOŠIĆA;Srednja škola;19-112-501;Dubrovačko-neretvanska;TINA UJEVIĆA  5;20340  Ploče; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ina  Žderić;020/679-631 , 020/679-139;NA;ured@ss-fraandrijekacicamiosica-ploce.skole.hr;www.ss-fraandrijekacicamiosica-ploce.skole.hr
Srednja škola Mate Balote;Srednja škola;18-068-501;Istarska;KARLA HUGUESA 6;52440  Poreč - Parenzo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krešimir  Bronić;052/431-055 , 052/ 431-085;052/431-246;ss-mbalote@ss-mbalote-porec.skole.hr;http://ss-mbalote-porec.skole.hr/
TURISTIČKO - UGOSTITELJSKA ŠKOLA ANTONA ŠTIFANIĆA POREČ;Srednja škola;18-068-502;Istarska;PRVOMAJSKA 6;52440  Poreč - Parenzo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tatjana  Gulić Pisarević;052/429-250;052/431-622;tus-porec@email.ht.hr , ured@ss-astifanica-porec.skole.hr;NA
Glazbena škola Požega;Osnovna škola, Srednja škola, Umjetnička škola;11-077-508;Požeško-slavonska;Vjekoslava Babukića 27;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Alen  Kovačević;034/273-630 , 034/273-974;034/312-240;glazbena-skola@po.ht.hr , ured@ss-glazbena-pozega.skole.hr , gsp@po.ht.hr;http://ss-glazbena-pozega.skole.hr/
Gimnazija;Srednja škola;11-077-501;Požeško-slavonska;Dr.Franje Tuđmana 4/a;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Vlašić;034/316-750 , 034/316-751 , 034/316-750;NA;ravnatelj@gimpoz.hr , tajnistvo@gimpoz.hr  , tajnistvo@gimpoz.hr;www.gimpoz.hr
Ekonomska škola, Požega;Srednja škola;11-077-502;Požeško-slavonska;OSJEČKA 33;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marinka  Parac;034/273-717 , 034/271-293;034/273-717, 271-293;ured@ss-ekonomska-pozega.skole.hr;http://ekonomska-pozega.hr/
POLJOPRIVREDNO-PREHRAMBENA ŠKOLA;Srednja škola;11-077-503;Požeško-slavonska;RATARNIČKA  3;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;034/274-324 , 034/274-324;034/271-754;ured@ss-poljoprivrednoprehrambena-pozega.skole.hr ;ss-poljoprivrednoprehrambena-pozega.skole.hr
TEHNIČKA ŠKOLA;Srednja škola;11-077-504;Požeško-slavonska;RATARNIČKA 1;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zoran  Galić;034/271-379 , 034/273-207;034/273-207;tehnicka-skola-pozega@po.t-com.hr;NA
OBRTNIČKA ŠKOLA;Srednja škola;11-077-505;Požeško-slavonska;OSJEČKA 33;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Iva  Šnajder;034/273-292, 272-992 , 034/271-140;034/273-992, 034/271-140;obrtnicka.skola@po.t-com.hr;http://www.obrtnicka-skola-pozega.hr/
Katolička gimnazija s pravom javnosti;Srednja škola;11-077-510;Požeško-slavonska;Pape Ivana Pavla II. 6;34000  Požega; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Bedeničić;034/312-093 , 034/312-095 , 034/312-087 , 034/312-090 , 034/312-091;034/312-070;ravnatelj@katolicka-gimnazija.hr , pedagog@katolicka-gimnazija.hr , nikolina.bodolovic@skole.hr , tajnistvo@katolicka-gimnazija.hr;http://katolicka-gimnazija.hr/
GLAZBENA ŠKOLA PREGRADA;Osnovna škola, Srednja škola, Umjetnička škola;02-123-502;Krapinsko-zagorska;Ulica Ljudevita Gaja 34;49218  Pregrada; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Petra  Tokić;049/377-234;049/377-234;glazbena.skola.pregrada@kr.t-com.hr;NA
SREDNJA ŠKOLA PREGRADA;Srednja škola;02-123-501;Krapinsko-zagorska;STJEPANA ŠKREBLINA 2;49218  Pregrada; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vilmica  Kapac;049/382-152 , 049/382-154 , 049/382-155 , 049/382-156 , 049/382-158 , 049/382-160 , 049/377-953 , 049/377-960 , 049/377-961 , 049/382161 , 049/382-150 , 049/382-151;049/382-159 , 049/377-959;ss-pregrada@kr.t-com.hr , ravnateljica@ss.pregrada.hr , knjiznica@ss.pregrada.hr , admin@ss-pregrada.skole.hr , srednja.skola.pregrada@kr.t-com.hr , ured@ss-pregrada.skole.hr;www.ss-pregrada.skole.hr
SREDNJA ŠKOLA PRELOG;Srednja škola;20-527-501;Međimurska;ČAKOVEČKA 1;40323  Prelog; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Gregur;040/645-400 , 040/645-400 , 040/648-082;040/645-456;ssp@ss-prelog.skole.hr;http://ss-prelog.skole.hr/
KLESARSKA ŠKOLA PUČIŠĆA;Srednja škola;17-445-501;Splitsko-dalmatinska;NOVO RIVA 4;21412  Pučišća; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tamara  Plastić;021 633 548 , 021 718 366 , 021/633-076 , 021/633-114;021/633-114;klesarska-skola@klesarska.tcloud.hr , klesarska.skola@inet.hr;NA
Škola za turizam, ugostiteljstvo i trgovinu;Srednja škola;18-069-501;Istarska;Kandlerova 48;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Orhideja  Petković;"052/368-683 , 052/218-778; 218-787";052/218-796;tajnistvo@ss-tur-ugo-trg-pu.skole.hr;http://www.ss-tur-ugo-trg-pu.skole.hr
Gimnazija Pula;Srednja škola;18-069-502;Istarska;TRIERSKA 8;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Vujačić;052/212-144 , 052/212-144, 212-258 , 052/212-144;052/212-258;gimnazija@gimnazija-pula.skole.hr;https://www.gimnazijapula.hr/
INDUSTRIJSKO - OBRTNIČKA ŠKOLA PULA;Srednja škola;18-069-503;Istarska;RIZZIJEVA 40;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dragan  Radovanović;052/216-121 , 052/216-121 , 052/216-121 , 052/216-124;052/216-124;ios.pula@skole.hr;NA
Škola primijenjenih umjetnosti i dizajna - Pula;Srednja škola, Umjetnička škola;18-069-504;Istarska;Radićeva 19;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Kliman;052/223-377 , 052/382-548;052/223-377;ured@ss-primijenjenihumjetnostiidizajna-pu.skole.hr , skola-dizajn@pu.t-com.hr;www.ss-primijenjenihumjetnostiidizajna-pu.skole.hr
TALIJANSKA SREDNJA ŠKOLA DANTE ALIGHIERI, PULA - SCUOLA MEDIA SUPERIORE ITALIANA DANTE ALIGHIERI, POLA;Srednja škola;18-069-505;Istarska;SANTORIOVA 3;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Debora  Radolović;052/385-091 , 052/385-090 , 052/385-093;052/385-098;ss.dante.pula@gmail.com , dante@ss-dante-pula.skole.hr; http://www.ss-dante-pula.skole.hr
Ekonomska škola Pula;Srednja škola;18-069-506;Istarska;KOVAČIĆEVA 3;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Petko  Radulović;052/380-559 , 052/222-761 , 052/210-717 , 052/214-452 , 052/380-558;052/222-761;ekonomska-skola-pula@ss-ekonomska-pu.skole.hr;ss-ekonomska-pu.skole.hr
Medicinska škola Pula;Srednja škola;18-069-507;Istarska;Zagrebačka 30;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Žagar;052/542-733 , 052/543-144 , 052/383-202;052/394-707;info@medicinskaskolapula.hr;NA
TEHNIČKA ŠKOLA PULA;Srednja škola;18-069-508;Istarska;JURJA CVEČIĆA 7;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sandra  Balde;052/218-461 , 052/218-461;052/218-562;ured@ss-tehnicka-pu.skole.hr;www.ss-tehnicka-pu.skole.hr
Strukovna škola Pula;Srednja škola;18-069-509;Istarska;Zagrebačka 22;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivo  Bebek;052/216-261;NA;ivo.bebek@skole.hr , mirela.lulic1@skole.hr  ,  ljiljana.mescic-blazevic@skole.hr , grozdana.smoljan@skole.hr , strukovna-pula@post.ht.hr;http://ss-strukovna-pu.skole.hr/
Škola za odgoj i obrazovanje - Pula;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;18-069-011;Istarska;ROVINJSKA 6;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Višnja  Popović;052/ 212-339 , 052/223-434;052/212-339;ured@ss-odgoj-obrazovanje-pu.skole.hr , skoo.pula@gmail.com;http://ss-odgoj-obrazovanje-pu.skole.hr/
Glazbena škola Ivana Matetića - Ronjgova Pula;Osnovna škola, Srednja škola, Umjetnička škola;18-069-512;Istarska;CISCUTTIJEVA 22;52100  Pula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Romana  Vuksan Zuban;052/543 915 , 052/543-912;052/542-187;glazbena@imr.hr;http://www.imr.hr
Srednja škola Markantuna de Dominisa Rab;Srednja škola;08-070-501;Primorsko-goranska;BANJOL 11;51280  Rab; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Paparić;051 339 638 , 051 724 179 , 051 725 954 , 051 339 636 , 051 724 179 , 051 724 941;NA;zoran.antunovic1@skole.hr , srednjaskola-rab@inet.hr , margarita.cutul@skole.hr , tajnistvo@ss-rab-mddominisa-rab.skole.hr , damir.paparic@skole.hr;www.ss-mddominisa-rab.skole.hr
Strojarska škola za industrijska i obrtnička zanimanja;Srednja škola;08-071-501;Primorsko-goranska;JOŽE VLAHOVIĆA 10;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Gojko  Miletić;051/301-001 , 051/645-941 , 051/343-333 , 051/688-575 , 051/343-145 , 051/343-132;051/648-781;ured@ss-strojarskazaiiozanimanja-ri.skole.hr;http://www.ss-strojarskazaiiozanimanja-ri.skole.hr
SREDNJA TALIJANSKA ŠKOLA - RIJEKA SCUOLA MEDIA SUPERIORE ITALIANA - FIUME;Srednja škola;08-071-502;Primorsko-goranska;ERAZMA BARČIĆA 6;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Michele  Scalembra;051/213-804 , 051/330-210;051/330-210;sts-smsi@email.t-com.hr;NA
Trgovačka i tekstilna škola u Rijeci;Srednja škola;08-071-503;Primorsko-goranska;STANE VONČINE 1A;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonija  Bukša;051/351-072 , 051/351-071 , 051/351-074 , 051/351-075 , 051/351-073 , 051/351-076;051/351-077;trgovacka-i-tekstilna-skola@ri.t-com.hr;NA
Srednja škola za elektrotehniku i računalstvo;Srednja škola;08-071-504;Primorsko-goranska;ZVONIMIROVA 12;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mladen  Stojić;051/678-910 , 051/678-912 , 051/672-281 , 051/678-913;051/678-920;ets-rijeka@ri.t-com.hr , sser@ri.t-com.hr;www.sser.hr
EKONOMSKA ŠKOLA MIJE MIRKOVIĆA RIJEKA;Srednja škola;08-071-505;Primorsko-goranska;IVANA FILIPOVIĆA 2;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Jokić Nastasić;051/213-890, 214-457 , 051/211-411;051/214-457;ekmm@ss-ekonomska-mmirkovica-ri.skole.hr;http://ss-ekonomska-mmirkovica-ri.skole.hr/skola
PRVA RIJEČKA HRVATSKA GIMNAZIJA;Srednja škola;08-071-506;Primorsko-goranska;Frana Kurelca 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jane  Sclaunich;051/339-115 , 051/339115 , 051/339115 , 051/ 215-596;051/214-538; 1.rihrgim@prhg.hr;www.prhg.hr
PRIRODOSLOVNA I GRAFIČKA ŠKOLA RIJEKA;Srednja škola;08-071-507;Primorsko-goranska;VUKOVARSKA 58;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Radenko  Bradić;099/6041510 , 099/2680668 , 051/675 740 , 051/675 740 , 051/675 738 , 051/675 732 ;NA;pgsri@hi.t-com.hr;www.pgsri.hr
Građevinska tehnička škola;Srednja škola;08-071-508;Primorsko-goranska;PODHUMSKIH ŽRTAVA 4;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Boris  Petrović;051/372-005 , 051/561-091 , 051/372-020 , 051/373-031 , 051/561-090;051/371-075;gts@ss-gradjevinska-tehnicka-ri.skole.hr;http://www.ss-gradjevinska-tehnicka-ri.skole.hr/
PRVA SUŠAČKA HRVATSKA GIMNAZIJA U RIJECI;Srednja škola;08-071-509;Primorsko-goranska;GAJEVA 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đudita  Franko;051/217-724, 051/217-770;NA;pshg@gimnazija-prva-susacka-ri.skole.hr;http://www.pshg.net/
GIMNAZIJA ANDRIJE MOHOROVIČIĆA RIJEKA;Srednja škola;08-071-511;Primorsko-goranska;FRANA KURELCA 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Henry  Ponte;051/338-195 , 051/338-195,214-539;051/338-195,213-747;ured@gam.hr , gim.moho@ri.t-com.hr ;www.gam.hr
STROJARSKO BRODOGRAĐEVNA ŠKOLA ZA INDUSTRIJSKA I OBRTNIČKA ZANIMANJA;Srednja škola;08-071-512;Primorsko-goranska;Jože Vlahovića 10;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Evica  Kozera;051/675-834 , 051/675-834;051/675-647;racunov@ss-strojarskobrodogradjevna-ri.skole.hr , tajnistvo@ss-strojarskobrodogradjevna-ri.skole.hr 	;https://sbs-ioz.hr/
Tehnička škola, Rijeka;Srednja škola;08-071-513;Primorsko-goranska;VUKOVARSKA 58;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Serđo  Jadrić;051/675-746 , 051/675-746;051/675-746;ts@ss-tehnicka-ri.skole.hr;www.ss-tehnicka-ri.skole.hr
Elektroindustrijska i obrtnička škola Rijeka;Srednja škola;08-071-514;Primorsko-goranska;Zvonimirova 12;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Bašić;"051/678-931 , 051 678 935 , 051/678-930;    678-936;   678-938";051/678-946;eios@eios.hr , eios@ss-elektroindustrijska-obrtnicka-ri.skole.hr;www.eios.hr
GRADITELJSKA ŠKOLA ZA INDUSTRIJU I OBRT;Srednja škola;08-071-515;Primorsko-goranska;PODHUMSKIH ŽRTAVA 4;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Milišić;051/371-626 , 051/372-011 , 051/372-032 , 051/372-032 , 051/371-061;051/372-032;ured@ss-graditeljska-industrijaiobrt-ri.skole.hr;www.ss-graditeljska-industrijaiobrt-ri.skole.hr
MEDICINSKA ŠKOLA U RIJECI;Srednja škola;08-071-516;Primorsko-goranska;Braće Branchetta 11a;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Alen  Vukelić;051/217-596 , 051/217-712 , 051/217-022;051/563-817;med-skola-rijeka@ri.t-com.hr;http://www.ss-medicinska-ri.skole.hr
PROMETNA ŠKOLA;Srednja škola;08-071-517;Primorsko-goranska;JOŽE VLAHOVIĆA 10;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijeta  Mašić;051/343-036, 343-037, 641-213 , 051/343-038;051/343-036;ravnateljica.prometna@gmail.com , tajnistvo.prometna@gmail.com , racunovodstvo.prometna@gmail.com , ured@ss-prometna-ri.skole.hr;https://prometna-skola-rijeka.hr/
SALEZIJANSKA KLASIČNA GIMNAZIJA - s pravom javnosti;Srednja škola;08-071-522;Primorsko-goranska;VUKOVARSKA 62;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dragutin  Detić;051-563-650 , 051/672-986;051/672-204;skg@ri.t-com.hr  , dragutin.detic@skole.hr , skg.tajnistvo@ri.t-com.hr , skg.racunovodstvo@ri.t-com.hr , skg.knjiznica@ri.t-com.hr;www.gimnazija-klasicna-salezijanska-ri.skole.hr
Škola za primijenjenu umjetnost u Rijeci;Srednja škola, Umjetnička škola;08-071-524;Primorsko-goranska;ŠETALIŠTE XIII. DIVIZIJE 75;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Šegota;051/431-545,  423-943 , 051/400-272;051/400-273;spur.rijeka@gmail.com , ured@spur.hr;NA
SREDNJA ŠKOLA ANDRIJE LJUDEVITA ADAMIĆA;Srednja škola;08-071-528;Primorsko-goranska;Dolac 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Denis  Khermayer;051/436-502;051/436-502;skola@ss-adamic.com;www.ss-adamic.com
CENTAR ZA ODGOJ I OBRAZOVANJE;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;08-071-026;Primorsko-goranska;SENJSKIH USKOKA 2;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivone  Šabarić Rubeša;051/344-145 , 051/344-145 , 051/344-145 , 051/344-145;051/344-423;dina.dezmar@skole.hr , ured@centar-odgojiobrazovanje-ri.skole.hr , tatjana.kovacic@skole.hr;http://centar-odgojiobrazovanje-ri.skole.hr/
Glazbena škola Ivana Matetića Ronjgova Rijeka;Osnovna škola, Srednja škola, Umjetnička škola;08-071-523;Primorsko-goranska;LAGINJINA 1;51000  Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijel  Trinajstić;051/226-859 , 051/227-570 , 051/227-270;NA;ured@ogs-imateticaronjgova-ri.skole.hr;www.gs-imr.hr
Talijanska srednja škola - Scuola media superiore italiana Rovinj - Rovigno;Srednja škola;18-072-501;Istarska;CARDUCCIJEVA ULICA 20;52210  Rovinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ines  Venier;052/813-277 , 052/813-277 , 052/840-984;052/840-985;smsir@pu.t-com.hr;http://www.smsir.hr/
"SREDNJA ŠKOLA ZVANE ČRNJE ROVINJ, SCUOLA MEDIA SUPERIORE ""ZVANE ČRNJA"" ROVIGNO";Srednja škola;18-072-502;Istarska;Carduccijeva ulica  20;52210  Rovinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ingrid  Sau;052/830-154 , 052/830-154   , 052/840-655;052/830-931;ured@ss-zcrnje-rovinj.skole.hr;http://ss-zcrnje-rovinj.skole.hr/
STRUKOVNA ŠKOLA EUGENA KUMIČIĆA ROVINJ - SCUOLA DI FORMAZIONE PROFESSIONALE EUGEN KUMIČIĆ ROVIGNO;Srednja škola;18-072-503;Istarska;CARDUCCI 13;52210  Rovinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Emil  Nimčević;052/813-047 , 052/813-047;NA;ssek@pu.t-com.hr;http://ssek.hr
Glazbena škola Ferdo Livadić;Osnovna škola, Srednja škola, Umjetnička škola;01-073-504;Zagrebačka;TRG MATICE HRVATSKE 3;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdenka  Merčep;01/333-64-27, 333-61-04 , 01/333-61-05;01/336-35-50;ured@ss-glazbena-flivadic-samobor.skole.hr , zdenka.mercep@skole.hr;NA
EKONOMSKA, TRGOVAČKA I UGOSTITELJSKA ŠKOLA;Srednja škola;01-073-501;Zagrebačka;Andrije Hebranga 26;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Kroflin;01/336-03-23/1 , 01/336-03-23/4 , 01/332-42-90;01/336-00-06;ravnatelj@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr , ured@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr;ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr
GIMNAZIJA ANTUNA GUSTAVA MATOŠA;Srednja škola;01-073-502;Zagrebačka;Andrije Hebranga 26;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Franjo  Bedeničić;01/336-04-01;01/336-04-01;agmatos@gimnazija-agmatos-samobor.skole.hr;NA
SREDNJA STRUKOVNA ŠKOLA;Srednja škola;01-073-503;Zagrebačka;ANDRIJE HEBRANGA 26;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Škiljan;01/336-52-00 , 01/336-52-00 , 01/336-10-80;01/336-52-00;srednja-strukovna-skola@zg.t-com.hr;NA
SREDNJA ŠKOLA PAVLA RITTERA VITEZOVIĆA U SENJU;Srednja škola;09-074-501;Ličko-senjska;VJENCESLAVA NOVAKA 2;53270  Senj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijela  Vukelić;053/881-011 , 053/881-680;053/881-680;srednja.skola.p.r.vitezovica@gs.t-com.hr , ured@ss-prvitezovica-senj.skole.hr;NA
GIMNAZIJA SESVETE;Srednja škola;21-114-565;Grad Zagreb;Bistrička 7;10360  Sesvete; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;01/200-24-66 , 01/200-34-72 , 01/200-34-73;01/200-34-71;gimnazija.sesvete@zg.t-com.hr;NA
Srednja škola Jelkovec;Srednja škola;21-114-624;Grad Zagreb;Vladimira Stahuljaka 1;10360  Sesvete; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marko  Kovačević;01/2049-723 , 016454680;01/6454-681;ured@ss-jelkovec.skole.hr;ss-jelkovec.skole.hr
Srednja strukovna škola bana Josipa Jelačića;Srednja škola;17-075-501;Splitsko-dalmatinska;Dinka Šimunovića 14.;21230  Sinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Stipe  Ivišić;021/668-583 , 021/668-586;NA;tajnistvo@ss-strukovna-banajosipajelacica-sinj.skole.hr;NA
GIMNAZIJA DINKA ŠIMUNOVIĆA U SINJU;Srednja škola;17-075-502;Splitsko-dalmatinska;DINKA ŠIMUNOVIĆA 10;21230  Sinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Bilić;021/821-608 , 021/821-808;021/825-444;ured@gimnazija-dsimunovica-sinj.skole.hr;www.gimnazija-dsimunovica-sinj.skole.hr
TEHNIČKA I INDUSTRIJSKA ŠKOLA RUĐERA BOŠKOVIĆA U SINJU;Srednja škola;17-075-503;Splitsko-dalmatinska;DINKA ŠIMUNOVIĆA  12;21230  Sinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marica  Barać;021/821-818 , 021/821-522 , 021/821-522 , 021/821-502;021/821-502;tis@ss-rboskovic-sinj.skole.hr;tiswebstranica@gmail.com
