"Šifra";"Naziv";"Župnija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"04-079-001";"OSNOVNA ŠKOLA SLUNJ";"Karlovačka županija";"47240";"Slunj";"Školska 17";"Osnovna škola";"Karlovačka županija";"Tome  Cvitković";"047/777-610, 047/777-112";"047/777-610";"ured@os-slunj.skole.hr";"http://os-slunj.skole.hr/"
"04-091-001";"Osnovna škola Vojnić";"Karlovačka županija";"47220";"Vojnić";"Starčevićev trg 3";"Osnovna škola";"Karlovačka županija";"Mirjana  Stojković";"047/811 308, 047/811-306, 047/883-060";"047/811-307";"skola@os-vojnic.skole.hr";""
"04-201-001";"OSNOVNA ŠKOLA ˝ANTUN KLASINC˝ LASINJA";"Karlovačka županija";"47206";"Lasinja";"TRG HRVATSKIH BRANITELJA 11";"Osnovna škola";"Karlovačka županija";"Mario  Crnolatec";"047/612-688, 047/884-088, 047/884-199";"";"ured@osakl.hr";""
"04-209-001";"OSNOVNA ŠKOLA BARILOVIĆ";"Karlovačka županija";"47252";"Barilović";"BARILOVIĆ 96";"Osnovna škola";"Karlovačka županija";"Vesna  Car";"047/847-191, 047/811-285, 047/847-007, 047/847-011";"";"ured@os-barilovic.skole.hr";"www.os-barilovic.skole.hr"
"04-210-001";"OSNOVNA ŠKOLA CETINGRAD";"Karlovačka županija";"47222";"Cetingrad";"IVANA FRANKOPANA CETINSKOG 11";"Osnovna škola";"Karlovačka županija";"Zorka  Cindrić";"047/781-005, 047/781-030";"047/781-005";"ured@os-cetingrad.skole.hr";"os-cetingrad.skole.hr"
"04-211-001";"OSNOVNA ŠKOLA DRAGANIĆI";"Karlovačka županija";"47201";"Draganić";"DRAGANIĆI 35";"Osnovna škola";"Karlovačka županija";"Marica  Jurčić";"047/715-196, 047/715-196";"047/715-196";"ured@os-draganici.skole.hr";""
"04-212-001";"OSNOVNA ŠKOLA GENERALSKI STOL";"Karlovačka županija";"47262";"Generalski Stol";"GENERALSKI STOL 22A";"Osnovna škola";"Karlovačka županija";"Dijana  Zadrović";"047811185, 047/811-327, 047/861-317, 047/811-184";"047/811-327";"dijana.zadrovic@skole.hr, skola@os-generalski-stol.skole.hr";"www.os-generalski-stol.hr"
"04-213-001";"OSNOVNA ŠKOLA KATARINE ZRINSKI";"Karlovačka županija";"47242";"Krnjak";"KRNJAK 20";"Osnovna škola";"Karlovačka županija";"Željka  Stojković";"047/811-359, -047/727-200, 047/727-046, 047/811-358";"047/811-358";"ured@os-kzrinski-krnjak.skole.hr";""
"04-214-001";"OSNOVNA ŠKOLA NETRETIĆ";"Karlovačka županija";"47271";"Netretić";"NETRETIĆ 1";"Osnovna škola";"Karlovačka županija";"Miodrag  Popović";"047/804-424, 047/804-210";"047/804-120";"ured@os-netretic.skole.hr";""
"04-216-001";"OSNOVNA ŠKOLA ""JOSIPDOL""";"Karlovačka županija";"47303";"Josipdol";"KARLOVAČKA 17";"Osnovna škola";"Karlovačka županija";"Anđelina  Božičević";"047/573-663, 047/581-112, 047/581-112";"047/581-112";"ured@os-josipdol.skole.hr";"os-josipdol.skole.hr"
"04-217-001";"OSNOVNA ŠKOLA PLAŠKI";"Karlovačka županija";"47304";"Plaški";"143. DOMOBRANSKE PUKOVNIJE 1A";"Osnovna škola";"Karlovačka županija";"Vlatko  Kulić";"047/573-178, 047/573-178";"047/573-117";"ured@os-plaski.skole.hr";"os-plaski.skole.hr"
"04-219-001";"OSNOVNA ŠKOLA EUGENA KVATERNIKA";"Karlovačka županija";"47245";"Rakovica";"RAKOVICA 95";"Osnovna škola";"Karlovačka županija";"Vera  Ljubanović Grdić";"047/811-372, 047/784-016, 047/784-070";"047/784-016";"vera.ljubanovic-grdic@skole.hr, valentina.kraljicek@skole.hr, os-rakovica@os-ekvaternika-rakovica.skole.hr";"http://os-ekvaternika-rakovica.skole.hr/"
"04-034-014";"OSNOVNA ŠKOLA ""SKAKAVAC""";"Karlovačka županija";"47212";"Skakavac";"SKAKAVAC 44";"Osnovna škola";"GRAD KARLOVAC";"Anto  Ćališ";"(047) 711 200, 047/601-458, 047/711-289, 047/711-288";"047/601-459";"racunovodstvo.oskakavac@gmail.com, ured@os-skakavac.skole.hr";""
"04-221-001";"OSNOVNA ŠKOLA ŽAKANJE";"Karlovačka županija";"47276";"Žakanje";"ŽAKANJE 58";"Osnovna škola";"Karlovačka županija";"Jasmina  Katunić";"047/757-585";"047/600-827";"ured@os-zakanje.skole.hr";"www/os-zakanje.hr"
"05-031-001";"Osnovna škola Ivana Kukuljevića Sakcinskog";"Varaždinska županija";"42240";"Ivanec";"Ulica akademika Ladislava Šabana 17";"Osnovna škola";"Varaždinska županija";"Damir  Jagić";", 042/781-330, 042/781-330, 042/784-440";"042/781-330";"os-ivanec@os-iksakcinskog-ivanec.skole.hr";"http://os-iksakcinskog-ivanec.skole.hr/"
"05-031-004";"Osnovna škola Metel Ožegović";"Varaždinska županija";"42242";"Radovan";"Varaždinska ulica 14";"Osnovna škola";"Varaždinska županija";"Željkica  Hanžek-Paska";"042 747 525/11, 042/747 525/10, 042/747 525 /12, 042/747 525/ 15";"042/207 434";"ured@os-metel-ozegovic-radovan.skole.hr";"www.os-metel-ozegovic-radovan.skole.hr"
"05-046-001";"Osnovna škola Ludbreg";"Varaždinska županija";"42230";"Ludbreg";"Andrije Kačića Miošića 17";"Osnovna škola, Umjetnička škola";"Varaždinska županija";"Đurđa  Kladić";"042/810-834, 042/306-023";"042/810-834";"os-ludbreg@osl.hr, ured@os-ludbreg.skole.hr";""
"05-053-001";"Osnovna škola Novi Marof";"Varaždinska županija";"42220";"Novi Marof";"ZAGORSKA 23";"Osnovna škola, Umjetnička škola";"Varaždinska županija";"Anđelko  Bošnjak";"042/611-215, 042/613-029, 042/613-045";"042/611-215";"branka.novak1@skole.hr, andelko.bosnjak@skole.hr, os.novimarof@skole.hr";""
"05-053-002";"Osnovna škola ""Podrute""";"Varaždinska županija";"42220";"Donje Makojišće";"Donje Makoišće 115";"Osnovna škola";"Varaždinska županija";"Štefek  Vincek";"625-382, 625-780, ";"625-382";"ravnatelj@os-podrute-donje-makoisce.skole.hr";"http://www.os-podrute-donje-makoisce.skole.hr/"
"05-086-001";"I. OSNOVNA ŠKOLA VARAŽDIN";"Varaždinska županija";"42000";"Varaždin";"KRALJA PETRA KREŠIMIRA IV. BROJ 10";"Osnovna škola";"GRAD VARAŽDIN";"Karmen  Hans - Jalšovec";"320-444, 320-465, 320-444";"320-444";"ured@os-prva-vz.skole.hr";"http://os-prva-vz.skole.hr/"
"05-086-002";"II. osnovna škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"AUGUSTA CESARCA 10";"Osnovna škola";"GRAD VARAŽDIN";"Sanja  Posavec";"214-467, 214-467";"214-463";"drugaos-vz@os-druga-vz.skole.hr, ravnatelj@os-druga-vz.skole.hr";""
"05-086-003";"III. OSNOVNA ŠKOLA VARAŽDIN";"Varaždinska županija";"42000";"Varaždin";"Trg Ivana Perkovca 35";"Osnovna škola";"GRAD VARAŽDIN";"Anica  Vragović";"+38542240545, +38542240570";"+38542204210";"ravnateljica@os-treca-vz.skole.hr, tajnistvo@os-treca-vz.skole.hr, racunovodstvo@os-treca-vz.skole.hr, knjiznica@os-treca-vz.skole.hr, ured@os-treca-vz.skole.hr";"http://os-treca-vz.skole.hr/"
"05-086-004";"IV. osnovna škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"Antuna Matije Reljkovića 36";"Osnovna škola";"GRAD VARAŽDIN";"Jasmina  Dvorski";"042/330-595, 042/330-595";"042/303-050";"ured@os-cetvrta-vz.skole.hr, jasmina.dvorski@skole.hr";"http://os-cetvrta.skole.hr/"
"05-086-005";"V. osnovna škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"Vatrogasna ulica 5";"Osnovna škola";"GRAD VARAŽDIN";"Mario  Šipek";"230-424, 230-424, 203-426 ( 042 )";"230-424";"peta@os-peta-vz.skole.hr";""
"05-086-006";"VI. osnovna škola Varaždin";"Varaždinska županija";"42000";"Varaždin";"Ulica Dimitrije Demetrta 13";"Osnovna škola";"GRAD VARAŽDIN";"Mario  Stančić";"042/658-982, 042/260-343, 042/260-343, 042/206-300";"042/260-343";"ured@os-sesta-vz.skole.hr";"http://www.os-sesta-vz.skole.hr/"
"05-086-007";"Centar za odgoj i obrazovanje Tomislav Špoljar";"Varaždinska županija";"42000";"Varaždin";"JURJA KRIŽANIĆA 33";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola";"GRAD VARAŽDIN";"Marin  Vučić";"658-450, 212-787, 301-363, 301-362, 091 2212787, 301-361";"301-360";"info@centar-tspoljar-vz.skole.hr, info@centar-tspoljar-vz.skole.hr";""
"05-086-008";"VII. osnovna  škola  Varaždin";"Varaždinska županija";"42000";"Varaždin";"Varaždinska ulica 131, Donji Kućan";"Osnovna škola";"GRAD VARAŽDIN";"Jurica  Hunjadi";"641-500, 207-380";"641-500";"ured@os-sedma-vz.skole.hr";"os-sedma-vz.skole.hr"
"05-222-001";"Osnovna škola Cestica";"Varaždinska županija";"42208";"Cestica";"DRAVSKA 2";"Osnovna škola";"Varaždinska županija";"Nevenka  Turščak";"042 724-238";"042 208-638";"ravnateljica@os-cestica.hr, racunovodstvo@os-cestica.hr, pedagog@os-cestica.hr, zbornica@os-cestica.hr, knjiznica@os-cestica.hr, ured@os-cestica.skole.hr, tajnistvo@os-cestica.hr, skola@os-cestica.hr";"http://os-cestica.skole.hr/"
"05-223-001";"Osnovna škola Kneginec Gornji";"Varaždinska županija";"42204";"Gornji Kneginec";"GORNJI KNEGINEC, Ulica učitelja Vjekoslava Kezele 7";"Osnovna škola";"Varaždinska županija";"Miljenko  Rožmarić";"042/209 530, 042/690-445, 042/209-510, 042/690 140, 042/209-531, 042/209-434";"042/209-510";"miljenko.rozmaric@skole.hr, ured@os-gornji-kneginec.skole.hr";""
"05-224-001";"Osnovna škola ""Petar Zrinski"" Jalžabet";"Varaždinska županija";"42203";"Jalžabet";"VARAŽDINSKA 32";"Osnovna škola";"Varaždinska županija";"Mirjana  Kučar";"042/647-088, 042/647-881 (zbornica)";"042/647-680";"ured@os-pzrinski-jalzabet.skole.hr";"http://os-pzrinski-jalzabet.skole.hr/"
"05-225-001";"Osnovna škola Vidovec";"Varaždinska županija";"42205";"Vidovec";"Školska 4";"Osnovna škola";"Varaždinska županija";"Predrag  Mašić";"042/741-307, 042/741-307, 042/741-717, 042/741-617 (zbornica)";"042/741-307";"vidovec@os-vidovec.skole.hr";"os-vidovec.skole.hr"
"05-226-001";"Osnovna škola Petrijanec";"Varaždinska županija";"42206";"Petrijanec";"VLADIMIRA NAZORA 42";"Osnovna škola";"Varaždinska županija";"Valerija  Paljak";"042/ 714-044, 042/ 714-033";"042/ 208-808";"os-petrijanec@os-petrijanec.skole.hr";"http://os-petrijanec.skole.hr/"
"05-227-001";"Osnovna škola Vladimir Nazor";"Varaždinska županija";"42214";"Sveti Ilija";"ŠKOLSKA 7";"Osnovna škola";"Varaždinska županija";"Anđelka  Rihtarić";"099/2297446, 042/734-210, 042/200-466, 042/734-211";"042/734-210";"skola@os-vnazor-svetiilija.skole.hr";""
"05-227-002";"Osnovna škola Beletinec";"Varaždinska županija";"42214";"Beletinec";"STJEPANA RADIĆA 4";"Osnovna škola";"Varaždinska županija";"Nataša  Fadiga";"749-383";"749-383";"tajnistvo@os-beletinec.skole.hr";"www.os-beletinec.skole.hr"
"05-229-001";"Osnovna škola Trnovec";"Varaždinska županija";"42202";"Trnovec";"BARTOLOVEČKA 55";"Osnovna škola";"Varaždinska županija";"Radmila  Sačić";"683-055, 098-275-228";"683-055";"os.trnovec@skole.hr, ostrnovec@ostrnovec.hr";""
"05-229-002";"Osnovna škola Šemovec";"Varaždinska županija";"42202";"Šemovec";"Šemovec, Plitvička 2";"Osnovna škola";"Varaždinska županija";"Marina  Hižak";"+385 (42) 657 200, +385 (42) 657 717, +385 (42) 657 109, +385 (99) 229 7439";"";"racunovodstvo@os-semovec.hr, ravnateljica@os-semovec.hr, tajnistvo@os-semovec.hr, skola@os-semovec.hr";"http://os-semovec.skole.hr, os-semovec.skole.hr/skola"
"05-230-001";"Osnovna škola Vinica";"Varaždinska županija";"42207";"Vinica";"MARČAN, VINIČKA 10";"Osnovna škola";"Varaždinska županija";"Mirjana  Jambriško";"042 722 599, 042 722 587, 042 722 588, 042 208 475, 042 722 585";"042 208 474";"os-vinica@os-vinica.skole.hr";"http://os-vinica.skole.hr/"
"05-231-001";"Osnovna škola Sračinec";"Varaždinska županija";"42209";"Sračinec";"VARAŽDINSKA 98";"Osnovna škola";"Varaždinska županija";"Lidija  Valec";"042/208-959, 042 208-959, 042 712-600";"042 208-393";"lidija.valec@ossracinec.hr, ljiljanka.skomrak@ossracinec.hr, skola@ossracinec.hr";"http://os-sracinec.skole.hr"
"05-232-001";"Osnovna škola Franje Serta Bednja";"Varaždinska županija";"42253";"Bednja";"LJUDEVITA GAJA 15";"Osnovna škola";"Varaždinska županija";"Sanja  Majcen";"042/796-302, 042/771-603";"042/796-302";"admin@os-fserta-bednja.skole.hr, ured@os-fserta-bednja.skole.hr";"http://os-fserta-bednja.skole.hr/"
"05-233-001";"Osnovna škola Gustav Krklec Maruševec";"Varaždinska županija";"42243";"Maruševec";"ČALINEC 78";"Osnovna škola";"Varaždinska županija";"Tomislav  Vincek";"042/729377 kućni 1, 042/729-377 , 042/209678";"042/209679";"ured@os-gkrklec-calinec.skole.hr";""
"05-234-001";"Osnovna škola grofa Janka Draškovića";"Varaždinska županija";"42244";"Klenovnik";"KLENOVNIK 21";"Osnovna škola";"Varaždinska županija";"Mijo  Barišić";"042/771-417, 042/444-260, 042/763-415, 042/771-416";"042/763-415";"ured@os-grofa-jdraskovica-klenovnik.skole.hr";"www:http://skole.htnet.hr/os-klenovnik-001/skola"
"05-235-001";"Osnovna škola Andrije Kačića Miošića";"Varaždinska županija";"42245";"Donja Voća";"DONJA VOĆA 19d";"Osnovna škola";"Varaždinska županija";"Rahela  Blažević";"042766120, 042766550";"042766120";"ured@os-akmiosica-donja-voca.skole.hr";""
"05-236-001";"Osnovna škola Ante Starčevića";"Varaždinska županija";"42250";"Lepoglava";"HRVATSKIH PAVLINA 42";"Osnovna škola";"Varaždinska županija";"Ratko  Tomić";"791-095";"";"ratko.tomic1@gmail.com, tajnistvo@os-astarcevica-lepoglava.skole.hr";""
"05-236-002";"Osnovna škola Ivana Rangera, Kamenica";"Varaždinska županija";"42250";"Kamenica";"Kamenica35 H";"Osnovna škola";"Varaždinska županija";"Mirjana  Posavec";"042/ 701-107, 042/ 771-092";"042/ 701-107";"ured@os-irangera-kamenica.skole.hr";"http://www.os-kamenica.com"
"05-236-003";"Osnovna škola Izidora Poljaka, Višnjica";"Varaždinska županija";"42250";"Lepoglava";"Donja Višnjica 156";"Osnovna škola";"Varaždinska županija";"Martina  Vusić";"042-703-163, 042-703-463";"042-770-265";"ured@os-ipoljaka-visnjica.skole.hr";"http://os-ipoljaka-visnjica.skole.hr"
"05-237-001";"Osnovna škola Martijanec";"Varaždinska županija";"42232";"Martijanec";"ŠKOLSKA 3";"Osnovna škola";"Varaždinska županija";"Sonja  Huzjak";"042/673-131";"042/207-820";"ured@os-martijanec.skole.hr";"www.os-martijanec.skole.hr"
"05-238-001";"Osnovna škola Sveti Đurđ";"Varaždinska županija";"42233";"Sveti Đurđ";"CVJETNA 4";"Osnovna škola";"Varaždinska županija";"Mario  Bontek";"042/830-101";"042/830-101";"mirela.vukoja@skole.hr, ured@os-sveti-djurdj.skole.hr";"http://os-sveti-djurdj.skole.hr"
"05-239-001";"Osnovna škola Veliki Bukovec";"Varaždinska županija";"42231";"Veliki Bukovec";"DRAVSKA 42";"Osnovna škola";"Varaždinska županija";"Željka  Marković-Bilić";"042/840-224, 042/840-224, 042/840-224";"042/840-224";"ured@os-bukovec.hr";""
"05-240-001";"Osnovna škola Antuna i Ivana Kukuljevića";"Varaždinska županija";"42223";"Varaždinske Toplice";"Ulica grada Vukovara 1";"Osnovna škola";"Varaždinska županija";"Goranka  Štefanić";"042/634-055, 042/634-055, 042/634-055";"042/205-557";"skola@os-aiikukuljevica-varazdinske-toplice.skole.hr";"os-aiikukuljevica-varazdinske-toplice.skole.hr"
"05-240-002";"Osnovna škola Svibovec";"Varaždinska županija";"42223";"Svibovec";"BRAĆE RADIĆ 4";"Osnovna škola";"Varaždinska županija";"Melita  Mesarić";"042/637-447, 042/637-499, 091/282-7119";"042/637-447";"tajnistvo@os-svibovec.skole.hr, ravnateljica@os-svibovec.skole.hr";""
"05-241-001";"Osnovna škola Breznički Hum";"Varaždinska županija";"42225";"Breznički Hum";"Breznički Hum 14";"Osnovna škola";"Varaždinska županija";"Vesna  Ivančan";"042/618-225";"042/618-225; 042/209-826, 042/618-225; 042/209-827";"ured@os-breznicki-hum.skole.hr";""
"05-242-001";"Osnovna škola Ljubešćica";"Varaždinska županija";"42222";"Ljubešćica";"Zagrebačka 22";"Osnovna škola";"Varaždinska županija";"Ivica  Rojc";"042/623-428, 042/623-428, 042/623-850";"042/623-851";"ured@os-ljubescica.skole.hr, skola@os-ljubescica.hr";"www.os-ljubescica.skole.hr"
"05-243-001";"Osnovna škola Bisag";"Varaždinska županija";"42226";"Bisag";"Bisag 24/1";"Osnovna škola";"Varaždinska županija";"Draženka  Švelec-Juričić";"042/616-101, 042/200-456";"075 801-133";"os-bisag@os-bisag.skole.hr, os-bisag@os-bisag.skole.hr";""
"05-244-001";"Osnovna škola Visoko";"Varaždinska županija";"42224";"Visoko";"VISOKO 20";"Osnovna škola";"Varaždinska županija";"Nada  Horvat";"042/628-150, 042/628-113";"";"tajnistvo@os-visoko.skole.hr, pedagog@os-visoko.skole.hr, knjiznica@os-visoko.skole.hr, skola@os-visoko.skole.hr";"https://osvisoko.hr"
"05-484-001";"Osnovna škola Tužno";"Varaždinska županija";"42242";"Tužno";"Varaždinska 16";"Osnovna škola";"Varaždinska županija";"Josip  Puček";"747-600";"747-232";"skola@os-tuzno.skole.hr";"www:os-tuzno.skole.hr"
"06-023-001";"OSNOVNA ŠKOLA ĐURĐEVAC";"Koprivničko-križevačka županija";"48350";"Đurđevac";"Basaričekova 5/d";"Osnovna škola";"Grad Đurđevac";"Danijel  Domišljanović";"048/812-414, 048/812-414, 048/812-414, 048/812-131,814-063, 814-520";"048/812-414";"ured@os-djurdjevac.skole.hr";"http://os-djurdjevac.skole.hr/"
"06-037-001";"OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI";"Koprivničko-križevačka županija";"48000";"Koprivnica";"Školska 5";"Osnovna škola";"Grad Koprivnica";"Gordana  Gazdić-Buhanec";"048/622-172, 048/622-172, 048/621-158";"048/621-172";"ang@os-angostovinski-kc.skole.hr, osang-kc@kc.t-com.hr";""
"06-037-002";"OSNOVNA ŠKOLA ""Braća Radić""";"Koprivničko-križevačka županija";"48000";"Koprivnica";"MIKLINOVEC 6 A";"Osnovna škola";"GRAD KOPRIVNICA";"Krešo  Grgac";"048/222-740, 048/642-025, 048/222-742, 048/220-448, 048/221-303, 048/642-024, 048/222-741";"048/642-026";"anita.brkovic@skole.hr, andreja.ersetic@skole.hr, ljubinka.jug@skole.hr, jadranka.bosanac@skole.hr, dunja.mlinjaric@skole.hr, vesna.auer-gregor@skole.hr, kreso.grgac@skole.hr, adrijana.hatadi@skole.hr, ured@os-braca-radic-koprivnica.skole.hr";""
"06-037-003";"OSNOVNA ŠKOLA ""ĐURO ESTER""";"Koprivničko-križevačka županija";"48000";"Koprivnica";"TRG SLOBODE 5.";"Osnovna škola";"GRAD KOPRIVNICA";"Sanja  Prelogović";"048/622-433, 048/622-433, 048/623-433, 048/631-344";"048/625-842";"sanja.prelogovic@skole.hr, marina.kozjak@skole.hr, ured@os-gjuro-ester-koprivnica.skole.hr";"www.os-gjuro-ester-koprivnica.skole.hr"
"06-037-004";"CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU PODRAVSKO SUNCE";"Koprivničko-križevačka županija";"48000";"Koprivnica";"Hercegovačka 1";"Osnovna škola";"GRAD KOPRIVNICA";"Radmila  Popović";"048/240-342, 048/240-341, 048/240-344";"048/240-348";"ravnatelj@centar-podravskosunce-koprivnica.skole.hr, ured@centar-podravskosunce-koprivnica.skole.hr";"www.podravsko-sunce.hr"
"06-041-001";"OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"FRANJE RAČKOGA 3";"Osnovna škola";"Grad Križevci";;"048/271-550, 048/270-451, 098/398-266, 048/681-677, 048/682-642";"048/271-550";"krizevci@os-ljmodeca-kc.skole.hr";"os-ljmodeca-kc.skole.hr"
"06-041-002";"OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"BANA JOSIPA JELAČIĆA 23";"Osnovna škola";"Grad Križevci";"Igor  Brkić";"048/270-395, 048/270-046, 048/270-063, 048/271-436, 048/691-045, 048/692-297, 048/691-205, 048/690-227, 048/681-486, 048/682-181, 048/681-149";"048/270-047";"ravnatelj@os-vnazor-kc.skole.hr, tatjana.strabic@skole.hr, ljiljana.kopjar@skole.hr, gordana.loncaric@skole.hr, petra.kamenaric@skole.hr, andrea.katanovic-babic@skole.hr, tajnistvo@os-vnazor-kc.skole.hr";""
"06-041-004";"CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"MATIJE GUPCA  36";"Osnovna škola";"Grad Križevci";"Mihaela  Brkić";"048/712-630, 048/270-836";"048/712-630, 048/712-630";"ured@centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr, ccokrizevci@net.hr";"http://www.centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr/"
"06-150-001";"OSNOVNA ŠKOLA KOPRIVNIČKI BREGI";"Koprivničko-križevačka županija";"48324";"Koprivnički Bregi";"Trg svetog Roka 2";"Osnovna škola";"Koprivničko-križevačka županija";"Karolina  Vidović";"048/830-086, 048/220-595, 048/830-008, 048/220-596";"048/830-008";"ured@os-koprivnicki-bregi.skole.hr";"www.os-koprivnicki-bregi.skole.hr"
"06-247-001";"OSNOVNA ŠKOLA FRAN KONCELAK DRNJE";"Koprivničko-križevačka županija";"48316";"Drnje";"PEMIJA 72";"Osnovna škola";"Koprivničko-križevačka županija";"Ivan  Pikivača";"048/626-812, 048/626893, 048/626891, 048/831-330, 048/626-811, 098/626-895, 048/626-894";"048/831-092";"ured@os-fkoncelak-drnje.skole.hr";"http://os-fkoncelak-drnje.skole.hr"
"06-248-001";"OSNOVNA ŠKOLA GOLA";"Koprivničko-križevačka županija";"48331";"Gola";"Trg kardinala A. Stepinca 4a";"Osnovna škola";"Koprivničko-križevačka županija";"Violeta  Pranjić";"048/625-664, 048/833-173, 048/833-026, 048/833-143, 048/833-143, 048/833-005, 048/833-050";"";"ured@os-gola.skole.hr";""
"06-249-001";"OSNOVNA ŠKOLA LEGRAD";"Koprivničko-križevačka županija";"48317";"Legrad";"Petra Zrinskog 10";"Osnovna škola";"Koprivničko-križevačka županija";"Dragutin  Marcinjaš";"048/222-174, 048/835-011, 048/220-493, 048/222-172";"048/835-011";"ured@os-legrad.skole.hr";"http://os-legrad.skole.hr"
"06-250-001";"OSNOVNA ŠKOLA MIHOVIL PAVLEK MIŠKINA ĐELEKOVEC";"Koprivničko-križevačka županija";"48316";"Đelekovec";"MIRKA VIRIUSA 28";"Osnovna škola";"Koprivničko-križevačka županija";"Sonja  Vuljak";"834-105, 048/221-544, 048/221-543, 048/222-125";"048/834-002";"ravnatelj@os-mpavlek-miskina-djelekovec.skole.hr";""
"06-251-001";"OSNOVNA ŠKOLA ""PROF.BLAŽ MAĐER"", Novigrad Podravski";"Koprivničko-križevačka županija";"48325";"Novigrad Podravski";"GAJEVA 17A";"Osnovna škola";"Koprivničko-križevačka županija";"Lidija  Peroš";"048 832-606, 048 832 602, 048 832 602, 048/220-456, 048/832-140";"";"ured@os-bmadjera-novigrad-podravski.skole.hr";"http://www.os-bmadjera-novigrad-podravski.skole.hr"
"06-253-001";"Osnovna škola ANDRIJE PALMOVIĆA";"Koprivničko-križevačka županija";"48312";"Rasinja";"ŠKOLSKA ULICA 15";"Osnovna škola";"Koprivničko-križevačka županija";"Krunoslav  Belaj";"048/837-154, 048/837-020, 048/837-585, 048/837-129";"048/837-020";"ured@os-apalmovica-rasinja.skole.hr";""
"06-254-001";"OSNOVNA ŠKOLA SOKOLOVAC";"Koprivničko-križevačka županija";"48306";"Sokolovac";"TRG DR. TOMISLAVA BARDEKA 1O";"Osnovna škola";"Koprivničko-križevačka županija";"Saša  Korkut";"048 270800, 048 270-537, 048 270-538, 048 270-539, 048 270-377, 048/838-068, 048/838-068, 048/270-540";"048/838-068";"ured@os-sokolovac.skole.hr";"www.os-sokolovac.skole.hr"
"06-255-001";"OSNOVNA ŠKOLA SVETI PETAR OREHOVEC";"Koprivničko-križevačka županija";"48267";"Sveti Petar Orehovec";"SVETI PETAR OREHOVEC 90";"Osnovna škola";"Koprivničko-križevačka županija";"Stjepan  Lučki";"048/856-257, 048/856-257, 048/856-257";"048/856-257";"ured@os-sveti-petar-orehovec.skole.hr";"www.os-sveti-petar-orehovec.skole.hr"
"06-255-002";"OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY";"Koprivničko-križevačka županija";"48268";"Gornja Rijeka";"JABLANOVA 1";"Osnovna škola";"Koprivničko-križevačka županija";"Darko  Zvonar";"048/855-002, 048/855-002, 048/270-225, 048/ 271-565";"048/855-002";"os.sidonije.rubido.erddy.gornja.rijeka@kc.t-com.hr";""
"06-256-001";"OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI";"Koprivničko-križevačka županija";"48362";"Kloštar Podravski";"1. SVIBNJA 50";"Osnovna škola";"Koprivničko-križevačka županija";"Mirko  Šandrovčan";"048/280-474, 048/816-331, 048/816-331, 048/816-344, 048/816-331, 816-344";"048/816-331";"ured@os-klostar-podravski.skole.hr";"os-klostar-podravski.skole.hr"
"06-257-001";"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";"Koprivničko-križevačka županija";"48214";"Sveti Ivan Žabno";"Trg Karla Lukaša 7";"Osnovna škola";"Koprivničko-križevačka županija";"Tomislav  Hanžeković";"048/211-009, 048/271-569, 048/271-531, 048/851-408, 048/211-025, 048/271-530, 048/271-533, 048/211-089";"048/851-408";"ured@os-gvitez-zabno.skole.hr";"http://os-gvitez-zabno.skole.hr"
"06-258-001";"OSNOVNA ŠKOLA MOLVE";"Koprivničko-križevačka županija";"48327";"Molve";"TRG KRALJA TOMISLAVA 10";"Osnovna škola";"Koprivničko-križevačka županija";"Ivan  Jaković";"048/892-031, 048/892-027";"048/892-027";"ivan.jakovic1@os-molve.skole.hr";""
"06-259-001";"OSNOVNA ŠKOLA FERDINANDOVAC";"Koprivničko-križevačka županija";"48356";"Ferdinandovac";"DRAVSKA 66";"Osnovna škola";"Koprivničko-križevačka županija";"Miroslav  Fuček";"048/210-001, 048/210-001, 048/817-709, 048/817-708";"048/817-709";"danijela.begovic@skole.hr, racunovodstvo-os-ferdinandovac@kckzz.hr, ured@os-ferdinandovac.skole.hr";"http://www.os-ferdinandovac.skole.hr"
