"Šifra";"Naziv";"Županija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"12-078-502";"Obrtnička škola";"Brodsko-posavska županija";"35000";"Slavonski Brod";"NAZOROVA 9";"Srednja škola";"Brodsko-posavska županija";"Anita  Holub";"035/447-326, 035/447-326, 035/407-421, 035/442-328";"035/407-420";"ured@ss-obrtnicka-sb.skole.hr";""
"12-078-503";"Gimnazija Matija Mesić";"Brodsko-posavska županija";"35000";"Slavonski Brod";"SLAVONIJA I br. 8";"Srednja škola";"Brodsko-posavska županija";"Zlatko  Markovinović";"035/446-252, 035/446-251";"035/402-880";"gmm@gimnazija-mmesic-sb.skole.hr";""
"12-078-504";"INDUSTRIJSKO-OBRTNIČKA ŠKOLA";"Brodsko-posavska županija";"35000";"Slavonski Brod";"Eugena Kumičića 55";"Srednja škola";"Brodsko-posavska županija";"Luka  Mladinović";"035/410-542, 035/410-542, 035/402-560, 035/492-670, 035/402-561";"035/410-544";"industrijskoobrtnickaskola@optinet.hr, industrijsko-obrtnicka.skola@inet.hr";""
"12-078-505";"TEHNIČKA ŠKOLA";"Brodsko-posavska županija";"35000";"Slavonski Brod";"EUGENA KUMIČIĆA 55";"Srednja škola";"Brodsko-posavska županija";"Vikica  Lukić";"035/411-478, 035/492-067, 035/492-062, 035/492-063, 035/492-061, 035/492-064";"035/446-160";"tehnicka_skola_sb@optinet.hr, tssb@tssb.hr, ured@ss-tehnicka-slavonski-brod.skole.hr";""
"12-078-506";"EKONOMSKO-BIROTEHNIČKA ŠKOLA";"Brodsko-posavska županija";"35000";"Slavonski Brod";"Naselje Andrija Hebrang 13/1";"Srednja škola";"Brodsko-posavska županija";"Mato  Čaklovac";"035/443-175, 035/443-175, 035/442-326";"035/442-326";"skola@ss-ekonomsko-birotehnicka-sb.skole.hr";""
"12-078-507";"SREDNJA MEDICINSKA ŠKOLA";"Brodsko-posavska županija";"35000";"Slavonski Brod";"VATROSLAVA JAGIĆA 3A";"Srednja škola";"Brodsko-posavska županija";"Jelena  Jelinić-Bošnjak";"035/442-492, 035/403-010, 035/411-402, 035/400-060";"035/446-271";"sms@ss-medicinska-sb.skole.hr";""
"12-078-508";"Klasična gimnazija fra Marijana Lanosovića s pravom javnosti";"Brodsko-posavska županija";"35000";"Slavonski Brod";"Vukovarska 1/a";"Srednja škola";"Hrvatska franjevačka provincija Sv. Ćirila i Metoda";"Klaudio  Milohanović";"035/443-821, 035/408-084, 035/297083, 035/297084, 035/443810";"";"pedagog@gimnazija-framarijanalanosovica.hr, ravnatelj@gimnazija-framarijanalanosovica.hr";"http://gimnazija-framarijanalanosovica.hr"
"13-002-501";"SREDNJA ŠKOLA KNEZA BRANIMIRA, BENKOVAC";"Zadarska županija";"23420";"Benkovac";"ANTUNA MIHANOVIĆA 19";"Srednja škola";"Zadarska županija";"Josip  Peran";"023/681-606, 023/681-402, 0916814020";"023/681-606";"ured@ssknezbranimir.hr";"www.ssknezbranimir.hr"
"13-003-501";"SREDNJA ŠKOLA BIOGRAD NA MORU";"Zadarska županija";"23210";"Biograd na Moru";"Augusta Šenoe 29";"Srednja škola";"Zadarska županija";"Ivica  Kero";"023/383-278, 023/385-114, , , 023-383-278";"023/383-278";"ssbnm@ss-biogradnamoru.skole.hr";""
"13-027-527";"SREDNJA ŠKOLA GRAČAC";"Zadarska županija";"23440";"Gračac";"ŠKOLSKA ULICA 8";"Srednja škola";"Zadarska županija";"Ivana  Jelinčić Lasić";"023/773-870, 023/773-873";"023/773-870";"ss-gracac@ss-gracac.skole.hr";""
"13-055-501";"SREDNJA ŠKOLA OBROVAC";"Zadarska županija";"23450";"Obrovac";"OBALA HRVATSKOG ČASNIKA SENADA ŽUPANA bb";"Srednja škola";"Zadarska županija";"Darko  Tokić";"023/689-058, 023/689-406, 023/689-515";"023/689-058";"ured@ss-obrovac.skole.hr";""
"13-063-501";"SREDNJA ŠKOLA BARTULA KAŠIĆA";"Zadarska županija";"23250";"Pag";"ANTE STARČEVIĆA 9";"Srednja škola";"Zadarska županija";"Marija  Pećirko";"023/611-720, 023/611-720";"023/600-270";"ured@ss-bkasica-pag.skole.hr";"http://www.ss-bkasica-pag.skole.hr"
"13-107-501";"GIMNAZIJA FRANJE PETRIĆA ZADAR";"Zadarska županija";"23000";"Zadar";"OBALA KNEZA TRPIMIRA 26";"Srednja škola";"Zadarska županija";"Blanka  Pedišić";"023/331-015, 023/335-215";"023/331-015";"ured@gimnazija-fpetrica-zd.skole.hr";"http://www.zd-mioc.hr"
"13-107-502";"GIMNAZIJA VLADIMIRA NAZORA";"Zadarska županija";"23000";"Zadar";"Perivoj Vladimira Nazora 3/II";"Srednja škola";"Zadarska županija";"Rade  Šimičević";"023/315-311, 023/317-064";"023/315-311";"gimnazija-vn@zd.t-com.hr, ured@gimnazija-vnazora-zd.skole.hr";""
"13-107-503";"GIMNAZIJA JURJA BARAKOVIĆA";"Zadarska županija";"23000";"Zadar";"Perivoj Vladimira Nazora  3";"Srednja škola";"Zadarska županija";"Ranko  Artuković";"023/317-051, 023/300-125";"023/301-774";"gjb@gjb.hr";""
"13-107-504";"KLASIČNA GIMNAZIJA IVANA PAVLA II. S PRAVOM JAVNOSTI";"Zadarska županija";"23000";"Zadar";"Jerolima Vidulića 2";"Srednja škola";"Zadarska nadbiskupija";;"023/253-800, 023/253-802, 023/253-801";"023/253-810";"klasicna@zd.t-com.hr";"http://www.gimnazija-ivanapavla.hr"
"13-107-506";"POMORSKA ŠKOLA ZADAR";"Zadarska županija";"23000";"Zadar";"ANTE KUZMANIĆA 1";"Srednja škola";"Zadarska županija";"Svetko  Perković";"023/315-600, 023/098/332-462, 023/317-055, 300-314";"023/316-510";"pomorskazd@ss-pomorska-zd.skole.hr";""
"13-107-509";"MEDICINSKA ŠKOLA ANTE KUZMANIĆA-ZADAR";"Zadarska županija";"23000";"Zadar";"Dr. Franje Tuđmana 24 G";"Srednja škola";"Zadarska županija";"Davor  Vidaković";"023/213-750, 023/318-797";"023/318-797";"ante-kuzmanic@medskolazd.hr";"http://www.medskolazd.hr"
"13-107-511";"OBRTNIČKA ŠKOLA GOJKA MATULINE ZADAR";"Zadarska županija";"23000";"Zadar";"IVANA MAŽURANIĆA 32";"Srednja škola";"Zadarska županija";"Maja  Selimović";"023/236-319, 023/236-228";"023/236-228";"obrtskolgm-zd@obrtskolgm.hr";""
"13-107-512";"TEHNIČKA ŠKOLA";"Zadarska županija";"23000";"Zadar";"Nikole Tesle 9 C";"Srednja škola";"Zadarska županija";"Denis  Prusac";"023/239-480, 023/239-481, 023/239-482, 239-483, 239-484, 239-490";"023/239-494";"ured@ss-tehnicka-zd.skole.hr, tehnicka.skola@zd.t-com.hr, tehnicka-skola-zadar@zd.t-com.hr";""
"13-107-513";"Strukovna škola Vice Vlatkovića";"Zadarska županija";"23000";"Zadar";"NIKOLE TESLE 9C";"Srednja škola";"Zadarska županija";"Tihomir  Tomčić";"023/239-460, 023/239-461, 023/239-462, 239-463, 239-475";"023/239-472";"ured.ss-strukovna-vvlatkovica-zd@skole.hr";""
"13-107-514";"Prirodoslovno - grafička škola";"Zadarska županija";"23000";"Zadar";"PERIVOJ VLADIMIRA NAZORA 3";"Srednja škola";"Zadarska županija";"Tomislav  Grbin";"023/213-746, 023/213-746, 023/213-746, 023/627-626";"023/302-207";"ured@pgszd.hr";""
"13-107-515";"Poljoprivredna, prehrambena i veterinarska škola Stanka Ožanića";"Zadarska županija";"23000";"Zadar";"Dr.F.Tuđmana 24/H";"Srednja škola";"Zadarska županija";"Jelena  Gulan";"023/315-668, 023/316-044";"023/316-044";"skola@ppvs-ozanic.hr";""
"13-107-516";"ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA";"Zadarska županija";"23000";"Zadar";"PERIVOJ VLADIMIRA NAZORA 3/III";"Srednja škola, Umjetnička škola";"Zadarska županija";"Marjana  Bakmaz";"023/212-228, 023/302 272";"023/224-053";"spud.zd@skole.hr, ured@ss-primijenjenaumjetnostidizajn-zd.skole.hr";""
"13-107-518";"EKONOMSKO-BIROTEHNIČKA I TRGOVAČKA ŠKOLA";"Zadarska županija";"23000";"Zadar";"ANTUNA GUSTAVA MATOŠA 40";"Srednja škola";"Zadarska županija";"Jozo  Dragić";"023/331-022, 023/337-420, 023/331-221, 023/337-426";"023/331-221, 331-022";"ekonomska@ebt-zadar.hr";"www.ebt-zadar.hr"
"13-107-519";"HOTELIJERSKO-TURISTIČKA I UGOSTITELJSKA ŠKOLA";"Zadarska županija";"23000";"Zadar";"ANTUNA GUSTAVA MATOŠA 40";"Srednja škola";"Zadarska županija";"Diana  Radić Škara";"023/335-295, 023/331-918, 023/644256";"023/333-173";"htus@htus.htnet.hr";"www.htus.hr"
"13-107-522";"Zadarska privatna gimnazija s pravom javnosti";"Zadarska županija";"23000";"Zadar";"SPLITSKA 1";"Srednja škola";"Nikica Simić i Anka Marić";;"023/301-565";"";"zadarska-privatna-gimnazija@zd.t-com.hr, zpg@zpg.hr";"www.zpg.hr"
"14-001-501";"GIMNAZIJA BELI MANASTIR";"Osječko-baranjska županija";"31300";"Beli Manastir";"ŠKOLSKA 3";"Srednja škola";"Osječko-baranjska županija";"Veljko  Frank";"031/703-380, 031/701-828, 031/705 050";"031/701-454";"ured@gimnazija-beli-manastir.skole.hr";""
"14-001-502";"PRVA SREDNJA ŠKOLA BELI MANASTIR";"Osječko-baranjska županija";"31300";"Beli Manastir";"ŠKOLSKA 3";"Srednja škola";"Osječko-baranjska županija";"Marko  Ilijašev";"031/700-032, 099 2345600";"031/702-655";"ured@ss-prva-bm.skole.hr, ravnatelj@ss-prva-bm.skole.hr";""
"14-001-503";"DRUGA SREDNJA ŠKOLA BELI MANASTIR";"Osječko-baranjska županija";"31300";"Beli Manastir";"ŠKOLSKA 3";"Srednja škola";"Osječko-baranjska županija";"Blaženka  Kalčić";"031/703-306, 031/703-306, 031/700-277, 705-207";"031/705-206, 705-207";"tajnistvo@ss-druga-bm.skole.hr";""
"14-016-501";"Srednja škola Donji Miholjac";"Osječko-baranjska županija";"31540";"Donji Miholjac";"Vukovarska 84";"Srednja škola";"Osječko-baranjska županija";"Nenad  Perić";"031/631-049, 031/630-970, 031/631-983, 031/633-156";"031/631-049";"ured@ss-donji-miholjac.skole.hr";""
"14-022-501";"EKONOMSKA ŠKOLA BRAĆA RADIĆ";"Osječko-baranjska županija";"31400";"Đakovo";"VIJENAC KARDINALA ALOJZIJA STEPINCA 11";"Srednja škola";"Osječko-baranjska županija";"Snježana  Marić";"031/811-358;  496-740, 031/811-345, 031/496-742, 031/496-741, 031/496-743";"031-822-292";"ured@ss-ekonomska-bracaradic-dj.skole.hr";"http://ss-ekonomska-bracaradic-dj.skole.hr/"
"14-022-502";"GIMNAZIJA A.G.MATOŠA";"Osječko-baranjska županija";"31400";"Đakovo";"Vijenac k. A. Stepinca 11";"Srednja škola";"Osječko-baranjska županija";"Zlatko  Mrkić";"031/814-060, 031/814-060, 031/813-581";"031/814-060";"ured@gimnazija-agmatosa-dj.skole.hr";""
"14-022-503";"SREDNJA STRUKOVNA ŠKOLA ANTUNA HORVATA";"Osječko-baranjska županija";"31400";"Đakovo";"VIJENAC KARDINALA ALOJZIJA STEPINCA 11";"Srednja škola";"Osječko-baranjska županija";"Mirko  Ćurić";"031/812-317, 031/812-317, 031/796-730,496-731, 496-731,496-733";"031/496-739";"ured-503@ss-strukovna-ahorvata-dj.skole.hr";""
"14-050-501";"Srednja škola Isidora Kršnjavoga Našice";"Osječko-baranjska županija";"31500";"Našice";"AUGUSTA CESARCA 20";"Srednja škola";"Osječko-baranjska županija";"Željko  Filjak";"031/613-202, 031/613-202, 031/613-473, 031/613-544, 031/611-367";"031/613-473";"ured@ss-ikrsnjavoga-nasice.skole.hr";""
"14-060-501";"Elektrotehnička i prometna škola Osijek";"Osječko-baranjska županija";"31000";"Osijek";"ISTARSKA 3";"Srednja škola";"Osječko-baranjska županija";"Antun  Kovačić";"031/208-400, 031/494-142, 031/494-140";"031/214-746, 207-068";"ured@ss-elektrotehnicka-prometna-os.skole.hr, antun.kovacic@skole.hr, tajnica@elpros.t-com.hr, voditeljica@elpros.t-com.hr";"www.elpros.net"
"14-060-502";"Strojarska tehnička škola Osijek";"Osječko-baranjska županija";"31000";"Osijek";"Istarska 3";"Srednja škola";"Osječko-baranjska županija";"Ivan  Adrić";"031/494-600, 031/494-605, 031/494-601, 031/494-602";"031/210-505, 031/494-611";"ured@ss-strojarska-tehnicka-os.skole.hr, strojarska-tehnicka-skola@os.t-com.hr";"www.ss-strojarska-tehnicka-os.skole.hr"
"14-060-503";"I. Gimnazija Osijek";"Osječko-baranjska županija";"31000";"Osijek";"ŽUPANIJSKA 4";"Srednja škola";"Osječko-baranjska županija";"Dražen  Đapić";"031/200-699, 031/200-698";"031/200-698";"ured@gimnazija-prva-os.skole.hr";""
"14-060-504";"II. gimnazija Osijek";"Osječko-baranjska županija";"31000";"Osijek";"KAMILA FIRINGERA 5";"Srednja škola";"Osječko-baranjska županija";"Vladimir  Minarik";"031/207-157, 031/207-157, 031/207-157";"031/207-156";"ured@gimnazija-druga-os.skole.hr";"www.gimnazija-druga-os.skole.hr"
"14-060-505";"III. Gimnazija Osijek";"Osječko-baranjska županija";"31000";"Osijek";"KAMILA FIRINGERA 14";"Srednja škola";"Osječko-baranjska županija";"Snježana  Barabaš Seršić";"031/207-101, 031/207-100";"031/207-100";"ssersic@public.carnet.hr, ured@gimnazija-treca-os.skole.hr";""
"14-060-506";"Medicinska škola Osijek";"Osječko-baranjska županija";"31000";"Osijek";"VUKOVARSKA 209";"Srednja škola";"Osječko-baranjska županija";"Renata  Gal";"031/540-200, 031/540-215, 031/540-214, 031/540-211,540-212, 540-217, 540-218";"031/540-215";"ured@ss-medicinska-os.skole.hr";""
"14-060-507";"Poljoprivredna i veterinarska škola Osijek";"Osječko-baranjska županija";"31000";"Osijek";"Jadrovska 20";"Srednja škola";"Osječko-baranjska županija";"Rudi  Lukačević";"031/275-960, 031/275-961, 031/275-964, 031/272-268";"031/275-968";"ured@ss-poljoprivredna-veterinarska-os.skole.hr";""
"14-060-509";"GRADITELJSKO - GEODETSKA ŠKOLA OSIJEK";"Osječko-baranjska županija";"31000";"Osijek";"Drinska 16a";"Srednja škola";"Osječko-baranjska županija";"Darko  Pšihistal";"031/274-500, 031/274-500, 031/274-500, 031/274-501, 274-502";"";"ured@ss-graditeljsko-geodetska-os.skole.hr";""
"14-060-510";"Tehnička škola i prirodoslovna gimnazija Ruđera Boškovića";"Osječko-baranjska županija";"31000";"Osijek";"VUKOVARSKA 209";"Srednja škola";"Osječko-baranjska županija";"Vlasta  Opačak";"031/501-933, 031/501-933, 031/505-341";"031/505-341";"ured@ss-tehnicka-rboskovica-os.skole.hr";""
"14-060-511";"EKONOMSKA I UPRAVNA ŠKOLA OSIJEK";"Osječko-baranjska županija";"31000";"Osijek";"TRG SVETOG TROJSTVA 4";"Srednja škola";"Osječko-baranjska županija";"Lidija  Žaper";"031/212-670, 031/399-341, 212-670, 031/399-348, 031/399-347";"031/399-353";"ured@ss-ekonomska-upravna-os.skole.hr";"http://ss-ekonomska-upravna-os.skole.hr/"
"14-060-512";"UGOSTITELJSKO-TURISTIČKA ŠKOLA";"Osječko-baranjska županija";"31000";"Osijek";"MATIJE GUPCA 61";"Srednja škola";"Osječko-baranjska županija";"Blaško  Menalo";"031/211-095, 031/212-981, 031/215-058";"031/212-980";"ured@ss-ugostiteljsko-turisticka-os.skole.hr";""
"14-060-513";"Obrtnička škola Osijek";"Osječko-baranjska županija";"31000";"Osijek";"TRG BANA JOSIPA JELAČIĆA 24";"Srednja škola";"Osječko-baranjska županija";"Maja  Zorić";"031/506-150, 031/506-150, 098 213 578";"031/502-554";"ured@ss-obrtnicka-os.skole.hr";""
"14-060-514";"TRGOVAČKA I KOMERCIJALNA ŠKOLA DAVOR MILAS";"Osječko-baranjska županija";"31000";"Osijek";"GUNDULIĆEVA 38";"Srednja škola";"Osječko-baranjska županija";"Sandra  Brajnović";"031/202-234, 031/202-919, 031/209-337";"031/202-234";"trgos@tiksdm.hr";""
"14-060-515";"ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA OSIJEK";"Osječko-baranjska županija";"31000";"Osijek";"KRBAVSKA B.B.";"Srednja škola, Umjetnička škola";"Osječko-baranjska županija";;"031/273-126, 031/273-126, 031/273-111";"031/273-111";"ured@ss-primijenjenaumjetnostidizajn-os.skole.hr";""
"14-060-521";"ISUSOVAČKA KLASIČNA GIMNAZIJA S PRAVOM JAVNOSTI U OSIJEKU";"Osječko-baranjska županija";"31000";"Osijek";"TRG VATROSLAVA LISINSKOG 1";"Srednja škola";"Provincijalat Hrvatske pokrajine Družbe Isusove";"Sebastian  Šujević";"031/215-120, 031/215-120, 031/215-121, 031/215-124";"031/215-123";"ikg@ikg.hr, ured@gimnazija-isusovackaspravomjavnosti-os.skole.";"http://www.ikg.hr"
"14-060-522";"GAUDEAMUS, prva privatna srednja škola u Osijeku s pravom javnosti";"Osječko-baranjska županija";"31000";"Osijek";"ŠKOLSKA 6";"Srednja škola";"Kristina Šakić";;"031/212-890, 031/212-890, 031/212-890";"031/212-890";"gaudeamus@gaudeamus.hr, gaudeamus.osijek@gmail.com";"www.gaudeamus.hr"
"14-085-501";"Srednja škola Valpovo";"Osječko-baranjska županija";"31550";"Valpovo";"dr. Franje Tuđmana 2";"Srednja škola";"Osječko-baranjska županija";"Svjetlana  Kalpić";"031/651-577, 031/496-781, 031/496-780, 031/663-948, 031/496-790, 031/496-782";"031/651-497";"ss-valpovo@ss-valpovo.skole.hr, ss-valpovo@os.t-com.hr";"www.ss-valpovo.hr"
"14-326-501";"SREDNJA ŠKOLA JOSIPA KOZARCA ĐURĐENOVAC";"Osječko-baranjska županija";"31511";"Đurđenovac";"Trg dr. Franje Tuđmana 4";"Srednja škola";"Osječko-baranjska županija";"Dražen  Turza";"031/601-554, 031/602-607";"031/601-554";"ured@ss-jkozarca-djurdjenovac.skole.hr";"www.ss-jkozarca-djurdjenovac.skole.hr"
"14-411-501";"SREDNJA ŠKOLA DALJ";"Osječko-baranjska županija";"31226";"Dalj";"BRAĆE RADIĆA 7";"Srednja škola";"Osječko-baranjska županija";"Rajko  Lukić";"031/590-290, 031/590-290, 031/592-156,098/238933, 031/592-156";"031/590-290";"ured@ss-dalj.skole.hr, srednja-skola-dalj@os.t-com.hr, ured@ss-dalj.skole.hr";""
"15-017-501";"SREDNJA ŠKOLA IVANA MEŠTROVIĆA DRNIŠ";"Šibensko-kninska županija";"22320";"Drniš";"POLJANA 1";"Srednja škola";"Šibensko-kninska županija";"Ivan  Zeljko";"022/886-114, 022/886-933";"022/886-933";"tajnistvo@ss-imestrovica-drnis.skole.hr";""
"15-081-501";"EKONOMSKA ŠKOLA ŠIBENIK";"Šibensko-kninska županija";"22000";"Šibenik";"Put gimnazije 64";"Srednja škola";"Šibensko-kninska županija";"Igor  Friedrich";"022/200-388, 022/212-845, 091/150-6863, 022/200-386, 022/200-387";"022/212-845, 022/219-060";"eubt@essibenik.tcloud.hr, eubt@essibenik.tcloud.hr";""
"15-081-502";"PROMETNO-TEHNIČKA ŠKOLA ŠIBENIK";"Šibensko-kninska županija";"22000";"Šibenik";"Put Gimnazije 64";"Srednja škola";"Šibensko-kninska županija";"Zdravko  Peran";"022/219-779, 022/214-606, 022/215-621, 022/331-615, 022/331-655";"022/214-606";"admin@ss-prometno-tehnicka-si.skole.hr";""
"15-081-504";"Medicinska škola";"Šibensko-kninska županija";"22000";"Šibenik";"ANTE ŠUPUKA 29";"Srednja škola";"Šibensko-kninska županija";"Aleksandra  Acalin";"099/8181755, 022/331-253, 022/312-550";"022/331-024";"ured@ss-medicinska-si.skole.hr";"http://www.ss-medicinska-si.skole.hr"
"15-081-505";"TURISTIČKO-UGOSTITELJSKA ŠKOLA ŠIBENIK";"Šibensko-kninska županija";"22000";"Šibenik";"ANTE ŠUPUKA b.b.";"Srednja škola";"Šibensko-kninska županija";"Senka  Dodig";"022/336-100, 336-320, 022/312-191, 022/336-200, 022/336-321";"022/310-136";"tus@si.t-com.hr, ured@ss-turisticko-ugostiteljska-si.skole.hr";"http://ss-turisticko-ugostiteljska-si.skole.hr/"
"15-081-506";"GIMNAZIJA ANTUNA VRANČIĆA";"Šibensko-kninska županija";"22000";"Šibenik";"Put Gimnazije br. 64";"Srednja škola";"Šibensko-kninska županija";;"022/213-276, 022/216-420";"022/216-420";"gimnazija@gav.hr";""
"15-081-507";"TEHNIČKA ŠKOLA";"Šibensko-kninska županija";"22000";"Šibenik";"Ante Šupuka 31";"Srednja škola";"Šibensko-kninska županija";"Josip  Belamarić";"022/332-074, 022/336-618";"022/332-074";"tehskola@tssibenik.hr, ured@ss-tehnicka-si.skole.hr";""
"15-081-508";"INDUSTRIJSKO-OBRTNIČKA ŠKOLA ŠIBENIK";"Šibensko-kninska županija";"22000";"Šibenik";"ANTE ŠUPUKA 31";"Srednja škola";"Šibensko-kninska županija";"Zoran  Živković";"022/334-220, 310-016;, 022/334-220, 022/334-220;";"022/310-016;";"ind.obrt.skola@si.t-com.hr, ljiljana.korda@ioss.hr";""
"15-081-509";"SREDNJA STRUKOVNA ŠKOLA ŠIBENIK";"Šibensko-kninska županija";"22000";"Šibenik";"Ante Šupuka 31 ";"Srednja škola";"Šibensko-kninska županija";"Dražen  Sekso";"022/214-484, 022/213-383";"022/213-383";"ured@ss-strukovna-si.skole.hr";"www.strukovna.hr"
"16-088-501";"Tehnička škola Ruđera Boškovića Vinkovci";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"STANKA VRAZA 15";"Srednja škola";"Vukovarsko-srijemska županija";"Mate  Vukušić";"032/354-615, 032/354-114, 032/ 354 619, 032/ 354 244, 032/ 354 620, 099 736 0445";"032/354-615";"tajnistvo@tsvk.hr, tsvk@ss-tehnicka-rboskovica-vk.skole.hr, tajnistvo@tsvk.hr, ines.grbesic@skole.hr, teh-sk-r.boskovic@vk.t-com.hr, mate.vukusic@skole.hr";"http://www.tsvk.hr"
"16-088-502";"Gimnazija Matije Antuna Reljkovića";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"Trg bana Josipa Šokčevića 1";"Srednja škola";"Vukovarsko-srijemska županija";"Stipe  Tomić";"032/332-284, 032/332-284, 032/338-261, 032/331-511, 331-517, 338-262";"032/340088";"ured@gimnazija-mareljkovica-vk.skole.hr, gimnazija.vk@gmail.com";"gimnazija-mareljkovica-vk.skole.hr"
"16-088-504";"Ekonomska i trgovačka škola Ivana Domca";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"Antuna Akšamovića 31";"Srednja škola";"Vukovarsko-srijemska županija";"Mato  Džalto";"032/354-064, 032/354-983, 032/354-299, 032/354-984, 032/354-064";"032/354-984";"ured@ss-ekonomskaitrgovacka-idomca-vk.skole.hr";""
"16-088-506";"Drvodjelska tehnička škola";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"STANKA VRAZA 15";"Srednja škola";"Vukovarsko-srijemska županija";"Josip  Jovanovac";"032/354-617, 032/354-069, 032/354-866, 032/354-821";"032/354-820";"ravnatelj@ss-drvodjelska-tehnicka-vk.skole.hr, tajnistvo@ss-drvodjelska-tehnicka-vk.skole.hr";""
"16-088-507";"Srednja strukovna škola Vinkovci";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"STANKA VRAZA 15";"Srednja škola";"Vukovarsko-srijemska županija";"Domagoj  Bujadinović";"032/354-614, 032/354-618, 032/354-901, 032/354-900";"032/354-618";"ravnatelj@ss-strukovna-vk.skole.hr, pedagog@ss-strukovna-vk.skole.hr, admin@ss-strukovna-vk.skole.hr";"http://www.ss-strukovna-vk.skole.hr/"
"16-088-508";"Zdravstvena i veterinarska škola Dr. Andrije Štampara Vinkovci";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"H.D.Genschera 16/a";"Srednja škola";"Vukovarsko-srijemska županija";"Josip  Šuker";"032/306-301, 032/306-301, 032/306-190, 032/306-191";"032/306-301";"ured@ss-drastampara-vk.skole.hr";""
"16-088-509";"POLJOPRIVREDNO ŠUMARSKA ŠKOLA VINKOVCI";"Vukovarsko-srijemska županija";"32100";"Vinkovci";"H.D.GENSCHERA 16";"Srednja škola";"Vukovarsko-srijemska županija";"Marinko  Džakula";"032/306-292, 032/306-601";"032/306-290";"pssvk@ss-poljoprivredno-sumarska-vk.skole.hr, nikolina.tomic4@skole.hr";""
"16-096-501";"GIMNAZIJA VUKOVAR";"Vukovarsko-srijemska županija";"32000";"Vukovar";"ŠAMAC 2";"Srednja škola";"Vukovarsko-srijemska županija";"Davor  Šijanović";"032/413-338, 032/413-338, 032/413-953";"032/414-780";"administracija@gimnazija-vukovar.skole.hr";"www.gimnazija-vukovar.skole.hr"
"16-096-502";"Ekonomska škola Vukovar";"Vukovarsko-srijemska županija";"32010";"Vukovar";"Stjepana Filipovića 6";"Srednja škola";"Vukovarsko-srijemska županija";"Mira  Majstorović";"032/423-019, 032/423-304, 032/423-305";"032/421-032";"ured@ekonomska-skola-vukovar.hr";""
"16-096-503";"TEHNIČKA ŠKOLA NIKOLE TESLE";"Vukovarsko-srijemska županija";"32010";"Vukovar";"Blage Zadre 4";"Srednja škola";"Vukovarsko-srijemska županija";"Đorđe  Lukić";"032/423-025, 032/423-025";"032/421-619";"ured@ss-tehnicka-ntesla-vu.skole.hr, ured@ss-tehnicka-ntesla-vu.skole.hr";""
"16-096-504";"Strukovna škola Vukovar";"Vukovarsko-srijemska županija";"32010";"Vukovar";"Domovinskog rata 58";"Srednja škola";"Vukovarsko-srijemska županija";"Vladimir  Matić";"032/424-970";"032/424-971";"racunovodstvo@ss-strukovna-vu.skole.hr, tajnistvo@ss-strukovna-vu.skole.hr, ravnatelj@ss-strukovna-vu.skole.hr, administrator@ss-strukovna-vu.skole.hr";""
"16-111-501";"OBRTNIČKO - INDUSTRIJSKA ŠKOLA, Županja";"Vukovarsko-srijemska županija";"32270";"Županja";"VELIKI KRAJ 42";"Srednja škola";"Vukovarsko-srijemska županija";"Slavko  Šokičić";"032/837-442, 032/837-442";"032/837-442";"ured@ss-obrtnicko-industrijska-zu.skole.hr, obrind-skola-zupanja@vk.t-com.hr";"http://ss-obrtnicko-industrijska-zu.skole.hr/"
"16-111-502";"Gimnazija Županja";"Vukovarsko-srijemska županija";"32270";"Županja";"VELIKI KRAJ 42";"Srednja škola";"Vukovarsko-srijemska županija";"Ivica  Živković";"032/837-620, 032/837-533, 032/837-278, 837-025";"032/837-620";"ured@gimnazija-zupanja.skole.hr, gimnazija.zupanja1@vu.t-com.hr";"http://gimnazija-zupanja.skole.hr/"
"16-111-503";"Tehnička škola Županja";"Vukovarsko-srijemska županija";"32270";"Županja";"VELIKI KRAJ 42";"Srednja škola";"Vukovarsko-srijemska županija";"Jozo  Jurkić";"032/837-926, 032/837-926";"032/837-025";"tszu@ss-tehnicka-zupanja.skole.hr";"www.ss-tehnicka-zupanja.skole.hr"
"16-426-501";"SREDNJA ŠKOLA ILOK";"Vukovarsko-srijemska županija";"32236";"Ilok";"MATIJE GUPCA 168";"Srednja škola";"Vukovarsko-srijemska županija";"Željko  Prskalo";"032/593-207, 032/593-207, 032/590-221, 032/592-820";"032/593-117";"ss-ilok@ss-ilok.skole.hr";""
"17-029-501";"SREDNJA ŠKOLA HVAR";"Splitsko-dalmatinska županija";"21450";"Hvar";"KROZ BURAK 81";"Srednja škola";"Splitsko-dalmatinska županija";"Saša  Paduan";"021/741-115, 021/761-157";"021/741-115 ili 761-157";"ured@ss-hvar.skole.hr, srednja-skola-hvar@st.htnet.hr";""
