naziv;opis;sifra;podsifra;zupanija;mjesto;e_mail;web;url
OSNOVNA ŠKOLA VLADIMIRA NAZORA;Osnovna škola;07-012-001;0-0;Bjelovarsko-bilogorska;43500  Daruvar;os-daruvar-001@os-vnazora-daruvar.skole.hr;http://os-vnazora-daruvar.skole.hr/;http://os-vnazora-daruvar.skole.hr/
ČEŠKA OSNOVNA ŠKOLA JANA AMOSA KOMENSKOG - ČESKÁ ZÁKLADNÍ ŠKOLA JANA AMOSE KOMENSKÉHO;Osnovna škola;07-012-002;0-0;Bjelovarsko-bilogorska;43500  Daruvar;ured@os-ceska-jakomenskog-daruvar.skole.hr , ured@os-ceska-jakomenskog-daruvar.skole.hr;http://os-ceska-jakomenskog-daruvar.skole.hr/;http://os-ceska-jakomenskog-daruvar.skole.hr/
CENTAR ZA ODGOJ I OBRAZOVANJE RUDOLF STEINER DARUVAR;Osnovna škola;07-012-004;0-0;Bjelovarsko-bilogorska;43500  Daruvar;info@crsd.hr;NA;https://crsd.hr/
OSNOVNA ŠKOLA GAREŠNICA;Osnovna škola, Umjetnička škola;07-024-001;0-0;Bjelovarsko-bilogorska;43280  Garešnica;ured@os-garesnica.skole.hr;http://www.os-garesnica.skole.hr/;http://www.os-garesnica.skole.hr/
OSNOVNA ŠKOLA TRNOVITIČKI POPOVAC;Osnovna škola;07-024-003;0-0;Bjelovarsko-bilogorska;43233  Trnovitički Popovac;ured@os-trnoviticki-popovac.skole.hr;NA;www.os-trnoviticki-popovac.skole.hr
OSNOVNA ŠKOLA IVANA NEPOMUKA JEMERŠIĆA;Osnovna škola;07-028-001;0-0;Bjelovarsko-bilogorska;43290  Grubišno Polje;ured@os-injemersica-grubisnopolje.skole.hr;http://os-injemersica-grubisnopolje.skole.hr/;http://os-injemersica-grubisnopolje.skole.hr/
OSNOVNA ŠKOLA MIRKA PEREŠA;Osnovna škola;07-261-001;0-0;Bjelovarsko-bilogorska;43203  Kapela;ured@os-mperesa-kapela.skole.hr , os-mirka-peresa@bj.t-com.hr;www.os-mperesa-kapela.skole.hr;www.os-mperesa-kapela.skole.hr
OSNOVNA ŠKOLA VELIKO TROJSTVO;Osnovna škola;07-262-001;0-0;Bjelovarsko-bilogorska;43226  Veliko Trojstvo;branka.gilanj@gmail.com , sanja.vranjesevic@skole.hr , ured@os-veliko-trojstvo.skole.hr ;NA;www.os-veliko-trojstvo.skole.hr
OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG;Osnovna škola;07-263-001;0-0;Bjelovarsko-bilogorska;43272  Nova Rača;ured@os-ivt-nova-raca.skole.hr , nova.raca@hotmail.com;NA;www.os-ivt-nova-raca.skole.hr
OSNOVNA ŠKOLA VELIKA PISANICA;Osnovna škola;07-264-001;0-0;Bjelovarsko-bilogorska;43270  Velika Pisanica;ured@os-velika-pisanica.skole.hr;NA;www.os-velika-pisanica.skole.hr
ČEŠKA OSNOVNA ŠKOLA JOSIPA RUŽIČKE KONČANICA-ČESKÁ ZÁKLADNÍ ŠKOLA JOSEFA RŮŽIČKY KONČENICE;Osnovna škola;07-265-001;0-0;Bjelovarsko-bilogorska;43505  Končanica;ured@os-ceska-jruzicka-koncanica.skole.hr;NA;www.os-ceska-jruzicka-koncanica.skole.hr
OSNOVNA ŠKOLA DEŽANOVAC;Osnovna škola;07-266-001;0-0;Bjelovarsko-bilogorska;43506  Dežanovac;os.dezanovac@gmail.com , ravnatelj@os-dezanovac.skole.hr;www.os-dezanovac.skole.hr;www.os-dezanovac.skole.hr
OSNOVNA ŠKOLA SIRAČ;Osnovna škola;07-267-001;0-0;Bjelovarsko-bilogorska;43541  Sirač;skola@os-sirac.skole.hr;os-sirac.skole.hr;os-sirac.skole.hr
OSNOVNA ŠKOLA U ĐULOVCU;Osnovna škola;07-268-001;0-0;Bjelovarsko-bilogorska;43532  Đulovac;os-djulovac@os-djulovac.skole.hr;http:/os-djulovac.skole.hr;http:/os-djulovac.skole.hr
OSNOVNA ŠKOLA IVANSKA;Osnovna škola;07-269-001;0-0;Bjelovarsko-bilogorska;43231  Ivanska;os-ivanska@bj.t-com.hr , ured@os-ivanska.skole.hr;www.os-ivanska.skole.hr;www.os-ivanska.skole.hr
OSNOVNA ŠKOLA ŠTEFANJE;Osnovna škola;07-270-001;0-0;Bjelovarsko-bilogorska;43246  Štefanje;ured@os-stefanje.skole.hr , vesna.pavlinec-kolaric@os-stefanje.skole.hr;www.os-stefanje.skole.hr;www.os-stefanje.skole.hr
OSNOVNA ŠKOLA MATE LOVRAKA;Osnovna škola;07-271-001;0-0;Bjelovarsko-bilogorska;43270  Veliki Grđevac;ured@os-mlovraka-veliki-grdjevac.skole.hr;http://os-mlovraka-veliki-grdjevac.skole.hr/;http://os-mlovraka-veliki-grdjevac.skole.hr/
OSNOVNA ŠKOLA BEREK;Osnovna škola;07-272-001;0-0;Bjelovarsko-bilogorska;43232  Berek;ured@os-berek.skole.hr;NA;www.os-berek.skole.hr
OSNOVNA ŠKOLA Slavka Kolara;Osnovna škola;07-273-001;0-0;Bjelovarsko-bilogorska;43284  Hercegovac;ured@os-skolara-hercegovac.skole.hr;http://www.os-skolara-hercegovac.skole.hr;http://www.os-skolara-hercegovac.skole.hr
OSNOVNA ŠKOLA ROVIŠĆE;Osnovna škola;07-274-001;0-0;Bjelovarsko-bilogorska;43212  Rovišće;katica.hajtic@skole.hr , anamarija.curic2@skole.hr , skola@os-rovisce.skole.hr  , blanka.klemic@skole.hr;http://os-rovisce.skole.hr;http://os-rovisce.skole.hr
OSNOVNA ŠKOLA TRNOVITICA;Osnovna škola;07-565-001;0-0;Bjelovarsko-bilogorska;43285  Velika Trnovitica;ostrnovitica@inet.hr , ured@os-velika-trnovitica.skole.hr;http://os-velika-trnovitica.skole.hr;http://os-velika-trnovitica.skole.hr
OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA;Osnovna škola, Umjetnička škola;08-008-002;0-0;Primorsko-goranska;51260  Crikvenica;skola@os-vnazora-crikvenica.skole.hr;NA;www.os-vnazora-crikvenica.skole.hr
Osnovna škola Zvonka Cara;Osnovna škola;08-008-003;0-0;Primorsko-goranska;51260  Crikvenica;damir.donadic@skole.hr , selce@os-zvonkacara.hr , pothalasso@gmail.com , tajnistvo@os-zvonkacara.hr  , ravnateljica@os-zvonkacara.hr;NA;www.os-zvonkacara.hr
Osnovna škola Petar Zrinski Čabar;Osnovna škola;08-009-001;0-0;Primorsko-goranska;51306  Čabar;ured@os-pzrinski-cabar.skole.hr , ured@os-pzrinski-cabar.skole.hr;http://os-pzrinski-cabar.skole.hr/ ;http://os-pzrinski-cabar.skole.hr/ 
Osnovna škola Ivana Gorana Kovačića;Osnovna škola;08-013-001;0-0;Primorsko-goranska;51300  Delnice;ured@os-igkovacica-delnice.skole.hr , os.delnice@oskovacic.tcloud.hr;www.osigk-delnice.hr;www.osigk-delnice.hr
Osnovna škola Frana Krste Frankopana;Osnovna škola;08-013-002;0-0;Primorsko-goranska;51301  Brod na Kupi;brodkupa@gmail.com , ured@os-fkfrankopan-brodnakupi.skole.hr;http://os-fkfrankopan-brodnakupi.skole.hr/;http://os-fkfrankopan-brodnakupi.skole.hr/
Osnovna škola Fran Krsto Frankopan Krk;Osnovna škola;08-042-001;0-0;Primorsko-goranska;51500  Krk;ravnatelj@os-fkfrankopan-krk.skole.hr , skola.krk@os-fkfrankopan-krk.skole.hr ;NA;www.os-fkfrankopan-krk.skole.hr
Osnovna škola Omišalj;Osnovna škola;08-043-001;0-0;Primorsko-goranska;51513  Omišalj;ured@os-omisalj.skole.hr;www.os-omisalj.hr;www.os-omisalj.hr
Osnovna škola Malinska-Dubašnica;Osnovna škola;08-044-001;0-0;Primorsko-goranska;51511  Malinska;osmalinskadubasnica@os-malinska-krk.skole.hr;www.osnovnaskolamalinskadubasnica.hr;www.osnovnaskolamalinskadubasnica.hr
OSNOVNA ŠKOLA FRANE PETRIĆA;Osnovna škola, Umjetnička škola;08-048-001;0-0;Primorsko-goranska;51557  Cres;zeljka.matovinovic@skole.hr , jelena.sudar@skole.hr , os-cres@os-fpetrica-cres.skole.hr  , josip.pope@skole.hr;NA;www.os-fpetrica-cres.skole.hr
Osnovna škola Rikard Katalinić Jeretov;Osnovna škola;08-058-002;0-0;Primorsko-goranska;51410  Opatija;rkj@os-rkatalinic-jeretov-opatija.skole.hr;NA;www.os-rkatalinic-jeretov-opatija.skole.hr
OSNOVNA ŠKOLA IVANA RABLJANINA RAB;Osnovna škola;08-070-001;0-0;Primorsko-goranska;51280  Rab;osrab@os-irabljanina-rab.skole.hr ;http://os-irabljanina-rab.skole.hr/;http://os-irabljanina-rab.skole.hr/
OSNOVNA ŠKOLA - SCUOLA ELEMENTARE BELVEDERE;Osnovna škola;08-071-001;0-0;Primorsko-goranska;51000  Rijeka;belvedere@os-belvedere-ri.skole.hr , racun@os-belvedere-ri.skole.hr ;NA;www.os-belvedere-ri.skole.hr
Osnovna škola Brajda;Osnovna škola;08-071-002;0-0;Primorsko-goranska;51000  Rijeka;osbrajda@os-brajda-ri.skole.hr;osbrajda.skole.t-com.hr;osbrajda.skole.t-com.hr
OSNOVNA ŠKOLA CENTAR;Osnovna škola;08-071-003;0-0;Primorsko-goranska;51000  Rijeka;centar@os-centar-ri.skole.hr;http://os-centar-ri.skole.hr/;http://os-centar-ri.skole.hr/
OSNOVNA ŠKOLA ZAMET;Osnovna škola;08-071-005;0-0;Primorsko-goranska;51000  Rijeka;zamet@os-zamet-ri.skole.hr;http://os-zamet-ri.skole.hr/;http://os-zamet-ri.skole.hr/
Osnovna škola - Scuola elementare Dolac;Osnovna škola;08-071-006;0-0;Primorsko-goranska;51000  Rijeka;ured@os-dolac-ri.skole.hr;http://os-dolac-ri.skole.hr/;http://os-dolac-ri.skole.hr/
Osnovna škola - Scuola elementare Gelsi;Osnovna škola;08-071-007;0-0;Primorsko-goranska;51000  Rijeka;se@os-gelsi-ri.skole.hr  ;NA;www.os-gelsi-ri.skole.hr
OSNOVNA ŠKOLA - SCUOLA ELEMENTARE ˝SAN NICOLO˝;Osnovna škola;08-071-008;0-0;Primorsko-goranska;51000  Rijeka;se@os-san-nicolo-ri.skole.hr;os-san-nicolo-ri.skole.hr;os-san-nicolo-ri.skole.hr
Osnovna škola Vladimir Gortan;Osnovna škola;08-071-009;0-0;Primorsko-goranska;51000  Rijeka;ured@os-vgortan-ri.skole.hr;NA;www.os-vgortan-ri.skole.hr
Osnovna škola ˝Kantrida˝;Osnovna škola;08-071-011;0-0;Primorsko-goranska;51000  Rijeka;ravnatelj@os-kantrida-ri.skole.hr;NA;www.os-kantrida-ri.skole.hr
OSNOVNA ŠKOLA KOZALA;Osnovna škola;08-071-012;0-0;Primorsko-goranska;51000  Rijeka;oskozala@os-kozala-ri.skole.hr;www.os-kozala-ri.skole.hr;www.os-kozala-ri.skole.hr
OSNOVNA ŠKOLA EUGEN KUMIČIĆ;Osnovna škola;08-071-013;0-0;Primorsko-goranska;51000  Rijeka;ek@os-ekumicic-ri.skole.hr;www.os-ekumicic-ri.skole.hr;www.os-ekumicic-ri.skole.hr
Osnovna škola Pećine;Osnovna škola;08-071-014;0-0;Primorsko-goranska;51000  Rijeka;ured@os-pecine-ri.skole.hr;http://os-pecine-ri.skole.hr/;http://os-pecine-ri.skole.hr/
OSNOVNA ŠKOLA PODMURVICE;Osnovna škola;08-071-015;0-0;Primorsko-goranska;51000  Rijeka;ospodmurvice@os-podmurvice-ri.skole.hr;http://os-podmurvice-ri.skole.hr/;http://os-podmurvice-ri.skole.hr/
Osnovna škola Nikola Tesla;Osnovna škola;08-071-016;0-0;Primorsko-goranska;51000  Rijeka;os-ntesla@net.hr , ured@os-ntesla-ri.skole.hr;NA;www.os-ntesla-ri.skole.hr
OSNOVNA ŠKOLA ŠKURINJE RIJEKA;Osnovna škola;08-071-017;0-0;Primorsko-goranska;51000  Rijeka;skola@os-skurinje-ri.skole.hr;NA;www.os-skurinje-ri.skole.hr
"OSNOVNA ŠKOLA ""TRSAT""";Osnovna škola;08-071-018;0-0;Primorsko-goranska;51000  Rijeka;os.trsat.rijeka@os-trsat-ri.skole.hr;os-trsat-ri.skole.hr;os-trsat-ri.skole.hr
Osnovna škola Turnić;Osnovna škola;08-071-019;0-0;Primorsko-goranska;51000  Rijeka;osturnic.uprava@ri.t-com.hr , os-turnic@os-turnic-ri.skole.hr;www.os-turnic-ri.skole.hr;www.os-turnic-ri.skole.hr
Osnovna škola Vežica;Osnovna škola, Umjetnička škola;08-071-020;0-0;Primorsko-goranska;51000  Rijeka;iskola@os-vezica-ri.skole.hr;NA;www.os-vezica-ri.skole.hr
Osnovna škola Gornja Vežica;Osnovna škola;08-071-021;0-0;Primorsko-goranska;51000  Rijeka;ured@os-gornja-vezica-ri.skole.hr;NA;www.os-gornja-vezica-ri.skole.hr
Osnovna škola Ivana Zajca;Osnovna škola;08-071-022;0-0;Primorsko-goranska;51000  Rijeka;skola@os-izajca-ri.skole.hr;NA;www.os-izajca-ri.skole.hr
"Osnovna škola ""Srdoči""";Osnovna škola;08-071-023;0-0;Primorsko-goranska;51000  Rijeka;ossrdoci@gmail.com , ossrdoci@os-srdoci-ri.skole.hr;http://www.srdoci.hr;http://www.srdoci.hr
Osnovna škola Fran Franković;Osnovna škola;08-071-024;0-0;Primorsko-goranska;51000  Rijeka;ured@os-ffrankovic-ri.skole.hr , os-fran.frankovic@ri.t-com.hr;NA;www.os-ffrankovic-ri.skole.hr
OSNOVNA ŠKOLA PEHLIN;Osnovna škola;08-071-025;0-0;Primorsko-goranska;51000  Rijeka;ravnatelj@os-pehlin-ri.skole.hr;http://os-pehlin-ri.skole.hr/;http://os-pehlin-ri.skole.hr/
CENTAR ZA ODGOJ I OBRAZOVANJE;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;08-071-026;0-0;Primorsko-goranska;51000  Rijeka;dina.dezmar@skole.hr , ured@centar-odgojiobrazovanje-ri.skole.hr , tatjana.kovacic@skole.hr;http://centar-odgojiobrazovanje-ri.skole.hr/;http://centar-odgojiobrazovanje-ri.skole.hr/
OSNOVNA WALDORFSKA ŠKOLA;Osnovna škola;08-071-031;0-0;Primorsko-goranska;51000  Rijeka;info@waldorf-rijeka.hr;NA;https://waldorf-rijeka.hr/
Katolička osnovna škola Josip Pavlišić;Osnovna škola;08-071-032;0-0;Primorsko-goranska;51000  Rijeka;tajnistvo@kat-os-jpavlisic.hr , ured@kat-os-jpavlisic.hr;kat-os-jpavlisic.hr;kat-os-jpavlisic.hr
Centar za autizam Rijeka;Obrazovanje odraslih, Osnovna škola, Posebna ustanova odgoja i obrazovanja;08-071-033;0-0;Primorsko-goranska;51000  Rijeka;autizam.ri@gmail.com;NA;https://cza-ri.hr/en/center-for-autism-rijeka-2/
Osnovna škola Ivana Gorana Kovačića Vrbovsko;Osnovna škola;08-095-001;0-0;Primorsko-goranska;51326  Vrbovsko;ured@os-igkovacic-vrbovsko.skole.hr;os-igkovacic-vrbovsko.skole.hr;os-igkovacic-vrbovsko.skole.hr
OSNOVNA ŠKOLA KOSTRENA;Osnovna škola;08-221-001;0-0;Primorsko-goranska;51221  Kostrena;ured@os-kostrena.skole.hr;http://www.os-kostrena.skole.hr/;http://www.os-kostrena.skole.hr/
OSNOVNA ŠKOLA BAKAR;Osnovna škola;08-275-001;0-0;Primorsko-goranska;51222  Bakar;ured@os-bakar.skole.hr;http://os-bakar.skole.hr/;http://os-bakar.skole.hr/
OSNOVNA ŠKOLA HRELJIN;Osnovna škola;08-275-002;0-0;Primorsko-goranska;51226  Hreljin;os-hreljin@os-hreljin.skole.hr;NA;www.os-hreljin.skole.hr
Osnovna škola ČAVLE;Osnovna škola;08-276-001;0-0;Primorsko-goranska;51219  Čavle;ured@os-cavle.skole.hr;http://os-cavle.skole.hr/;http://os-cavle.skole.hr/
OSNOVNA ŠKOLA RUDOLFA STROHALA;Osnovna škola;08-277-001;0-0;Primorsko-goranska;51316  Lokve;ured@os-lokve.skole.hr , os.rudolfa.strohala@gmail.com;NA;www.os-lokve.skole.hr
Osnovna škola JELENJE - DRAŽICE;Osnovna škola;08-278-001;0-0;Primorsko-goranska;51218  Dražice;skola@os-drazice.skole.hr;NA;www.os-drazice.skole.hr
Osnovna škola ˝Milan Brozović˝;Osnovna škola, Umjetnička škola;08-279-001;0-0;Primorsko-goranska;51215  Kastav;os-kastav@os-mbrozovic-kastav.skole.hr;NA;www.os-mbrozovic-kastav.skole.hr
Osnovna škola Klana;Osnovna škola;08-280-001;0-0;Primorsko-goranska;51217  Klana;skola@os-klana.skole.hr;os-klana.skole.hr;os-klana.skole.hr
Osnovna škola SVETI MATEJ;Osnovna škola;08-281-001;0-0;Primorsko-goranska;51216  Viškovo;skola@os-sveti-matej-viskovo.skole.hr;www.ossvetimatej.hr;www.ossvetimatej.hr
Osnovna škola Kraljevica;Osnovna škola;08-282-001;0-0;Primorsko-goranska;51262  Kraljevica;ured@os-kraljevica.skole.hr;http://www.os-kraljevica.skole.hr/;http://www.os-kraljevica.skole.hr/
Osnovna škola Ivanke Trohar;Osnovna škola;08-289-001;0-0;Primorsko-goranska;51322  Fužine;ured@os-itrohar-fuzine.skole.hr;http://os-itrohar-fuzine.skole.hr/;http://os-itrohar-fuzine.skole.hr/
OSNOVNA ŠKOLA VIKTORA CARA EMINA;Osnovna škola;08-290-001;0-0;Primorsko-goranska;51415  Lovran;ured@os-vcemina-lovran.skole.hr;os-vcemina-lovran.skole.hr/ ;os-vcemina-lovran.skole.hr/ 
OSNOVNA ŠKOLA MARIA MARTINOLIĆA;Osnovna škola, Umjetnička škola;08-292-001;0-0;Primorsko-goranska;51550  Mali Lošinj;os.maria.martinolica@os-mmartinolica.skole.hr;www.os-mmartinolica-mali-losinj.skole.hr;www.os-mmartinolica-mali-losinj.skole.hr
OSNOVNA ŠKOLA Dr. ANDRIJA MOHOROVIČIĆ;Osnovna škola;08-293-001;0-0;Primorsko-goranska;51211  Matulji;osamohorovicic@os-amohorovicica-matulji.skole.hr;www.OŠ Dr. Andrija Mohorovičić Matulji;www.OŠ Dr. Andrija Mohorovičić Matulji
OSNOVNA ŠKOLA DRAGO GERVAIS;Osnovna škola;08-293-002;0-0;Primorsko-goranska;51213  Jurdani;osbresca@os-dgervais-jurdani.skole.hr; www.os-dgervais-jurdani.skole.hr; www.os-dgervais-jurdani.skole.hr
Osnovna škola Ivana Mažuranića;Osnovna škola, Umjetnička škola;08-294-001;0-0;Primorsko-goranska;51250  Novi Vinodolski;skola@osivanamazuranica.hr;NA;www.osivanamazuranica.hr
Osnovna škola dr. Josipa Pančića Bribir;Osnovna škola;08-295-001;0-0;Primorsko-goranska;51253  Bribir;skola@os-jpancica-bribir.skole.hr;os-jpancica-bribir.skole.hr;os-jpancica-bribir.skole.hr
Osnovna škola Jurja Klovića Tribalj;Osnovna škola;08-295-002;0-0;Primorsko-goranska;51243  Tribalj;skola@os-jklovica-tribalj.skole.hr;os-jklovica-tribalj.skole.hr;os-jklovica-tribalj.skole.hr
Osnovna škola Skrad;Osnovna škola;08-296-001;0-0;Primorsko-goranska;51311  Skrad;os-skrad@os-skrad.skole.hr , vjekoslav.pintar@skole.hr;www.os-skrad.skole.hr;www.os-skrad.skole.hr
Osnovna škola Dr. Branimira Markovića;Osnovna škola;08-297-001;0-0;Primorsko-goranska;51314  Ravna Gora;ured@os-bmarkovica-ravna-gora.skole.hr;NA;www.os-bmarkovica-ravna-gora.skole.hr
Osnovna škola Mrkopalj;Osnovna škola;08-298-001;0-0;Primorsko-goranska;51315  Mrkopalj;os.mrkopalj@inet.hr , mrkopalj@os-mrkopalj.skole.hr;NA;www.os-mrkopalj.skole.hr
Osnovna škola Brod Moravice;Osnovna škola;08-299-001;0-0;Primorsko-goranska;51312  Brod Moravice;skola@os-brod-moravice.skole.hr;http://web2.os-brod-moravice.skole.hr/;http://web2.os-brod-moravice.skole.hr/
OSNOVNA ŠKOLA DONJI LAPAC;Osnovna škola;09-015-001;0-0;Ličko-senjska;53250  Donji Lapac;skola@os-donji-lapac.skole.hr;http://os-donji-lapac.skole.hr/;http://os-donji-lapac.skole.hr/
OSNOVNA ŠKOLA DR. JURE TURIĆA;Osnovna škola, Umjetnička škola;09-026-001;0-0;Ličko-senjska;53000  Gospić;ured@os-jturic-gospic.skole.hr;http://www.os-gospic.hr/;http://www.os-gospic.hr/
Osnovna škola Dr. Franje Tuđmana Lički Osik;Osnovna škola;09-026-003;0-0;Ličko-senjska;53201  Lički Osik;ivana.dapic@skole.hr , ivanka.vojvodic@skole.hr , ured@os-licki-osik.skole.hr ;os-licki-osik.skole.hr;os-licki-osik.skole.hr
OSNOVNA ŠKOLA DR. ANTE STARČEVIĆ PAZARIŠTE-KLANAC;Osnovna škola;09-026-005;0-0;Ličko-senjska;53212  Klanac;ured@os-astarcevic-klanac.skole.hr;NA;www.os-astarcevic-klanac.skole.hr
OSNOVNA ŠKOLA ZRINSKIH I FRANKOPANA;Osnovna škola;09-061-001;0-0;Ličko-senjska;53220  Otočac;ured@os-zrinskihifrankopana-otocac.skole.hr;www. os-zrinskihifrankopana-otocac.skole.hr;www. os-zrinskihifrankopana-otocac.skole.hr
OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA SENJ;Osnovna škola, Umjetnička škola;09-074-001;0-0;Ličko-senjska;53270  Senj;os-ss.kranjcevica@gs.t-com.hr , tajnistvo@os-sskranjcevica-senj.skole.hr;os-sskranjcevica-senj.skole.hr;os-sskranjcevica-senj.skole.hr
OSNOVNA ŠKOLA LUKE PERKOVIĆA BRINJE;Osnovna škola;09-300-001;0-0;Ličko-senjska;53260  Brinje;ured@os-lperkovica-brinje.skole.hr;os-lperkovica-brinje.skole.hr;os-lperkovica-brinje.skole.hr
OSNOVNA ŠKOLA KARLOBAG;Osnovna škola;09-301-001;0-0;Ličko-senjska;53288  Karlobag;tajnistvo@os-karlobag.skole.hr;NA;www.os-karlobag.skole.hr
OSNOVNA ŠKOLA PERUŠIĆ;Osnovna škola;09-302-001;0-0;Ličko-senjska;53202  Perušić;ured@os-perusic.skole.hr;NA;www.os-perusic.skole.hr
OSNOVNA ŠKOLA ANŽ FRANKOPAN KOSINJ;Osnovna škola;09-302-003;0-0;Ličko-senjska;53203  Gornji Kosinj;ured@os-afrankopan-kosinj.skole.hr;NA;www.os-afrankopan-kosinj.skole.hr
Osnovna škola A. G. Matoša Novalja;Osnovna škola;09-304-001;0-0;Ličko-senjska;53291  Novalja;ured@os-agmatosa-novalja.skole.hr;NA;www.os-agmatosa-novalja.skole.hr
"Osnovna škola ""Milan Sekulić"" Lovinac";Osnovna škola;09-379-001;0-0;Ličko-senjska;53244  Lovinac;ured@os-lovinac.skole.hr , os-lovinac@post.t-com.hr , os-mile.pavicic-lovinac@gs.t-com.hr;http://os-lovinac.skole.hr/;http://os-lovinac.skole.hr/
Osnovna škola KRALJA TOMISLAVA;Osnovna škola;09-380-001;0-0;Ličko-senjska;53234  Udbina;ured@os-kralja-tomislava-udbina.skole.hr , os-kralja-tomislava@gs.htnet.hr;NA;www.os-kralja-tomislava-udbina.skole.hr
OSNOVNA ŠKOLA PLITVIČKA JEZERA;Osnovna škola;09-455-001;0-0;Ličko-senjska;53231  Plitvička Jezera; ured@os-plitvicka-jezera.skole.hr;NA;www.os-plitvicka-jezera.skole.hr
Osnovna škola dr. Franje Tuđmana;Osnovna škola;09-455-002;0-0;Ličko-senjska;53230  Korenica;korenica@os-korenica.skole.hr;NA;www.os-korenica.skole.hr
OSNOVNA ŠKOLA IVANE BRLIĆ-MAŽURANIĆ ORAHOVICA;Osnovna škola;10-059-001;0-0;Virovitičko-podravska;33515  Orahovica;ured@os-ibmazuranic-orahovica.skole.hr;www.os-ibmazuranic-orahovica.skole.hr;www.os-ibmazuranic-orahovica.skole.hr
OSNOVNA ŠKOLA EUGENA KUMIČIĆA;Osnovna škola;10-067-001;0-0;Virovitičko-podravska;33520  Slatina;os-eugena.kumicica@vt.t-com.hr , os-slatina-001@os-ekumicica-slatina.skole.hr;www.os-ekumicica-slatina.skole.hr;www.os-ekumicica-slatina.skole.hr
OSNOVNA ŠKOLA JOSIPA KOZARCA;Osnovna škola;10-067-002;0-0;Virovitičko-podravska;33520  Slatina;os-josipa-kozarca@vt.t-com.hr , ured@os-jkozarca-slatina.skole.hr;NA;www.os-jkozarca-slatina.skole.hr
OSNOVNA ŠKOLA IVANE BRLIĆ-MAŽURANIĆ VIROVITICA;Osnovna škola;10-089-001;0-0;Virovitičko-podravska;33000  Virovitica;ured@os-ibmazuranic-vt.skole.hr;www.brlici.hr;www.brlici.hr
OSNOVNA ŠKOLA VLADIMIR NAZOR VIROVITICA;Osnovna škola;10-089-002;0-0;Virovitičko-podravska;33000  Virovitica;ured@os-vnazor-vt.skole.hr;www.os-vnazor-vt.skole.hr;www.os-vnazor-vt.skole.hr
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU VIROVITICA;Osnovna škola, Srednja škola;10-089-004;0-0;Virovitičko-podravska;33000  Virovitica;tajnistvo@coorvirovitica.hr , ured@coor-virovitica.skole.hr;NA;https://www.coorvirovitica.hr/
Katolička osnovna škola u Virovitici;Osnovna škola;10-089-005;0-0;Virovitičko-podravska;33000  Virovitica;ured@os-katolicka-vt.skole.hr;NA;www.os-katolicka-vt.skole.hr
OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Osnovna škola;10-305-001;0-0;Virovitičko-podravska;33513  Zdenci;ured@os-igkovacic-zdenci.skole.hr;NA;www.os-igkovacic-zdenci.skole.hr
OSNOVNA ŠKOLA ANTUNA GUSTAVA MATOŠA;Osnovna škola;10-307-001;0-0;Virovitičko-podravska;33514  Čačinci;ured@os-agmatosa-cacinci.skole.hr;http://os-agmatosa-cacinci.skole.hr/;http://os-agmatosa-cacinci.skole.hr/
OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA GORNJE BAZJE;Osnovna škola;10-308-001;0-0;Virovitičko-podravska;33406  Lukač;tajnistvo@os-igkovacic-gornjebazje.skole.hr;www.os-igkovacic-gornjebazje.skole.hr;www.os-igkovacic-gornjebazje.skole.hr
OSNOVNA ŠKOLA GRADINA;Osnovna škola;10-309-001;0-0;Virovitičko-podravska;33411  Gradina;ured@os-gradina.skole.hr;www.os-gradina.skole.hr;www.os-gradina.skole.hr
OSNOVNA ŠKOLA DAVORIN TRSTENJAK ČAĐAVICA;Osnovna škola;10-310-001;0-0;Virovitičko-podravska;33523  Čađavica;ured@os-davorin-trstenjak-cadjavica.skole.hr;http://os-davorin-trstenjak-cadjavica.skole.hr/;http://os-davorin-trstenjak-cadjavica.skole.hr/
OSNOVNA ŠKOLA VLADIMIRA NAZORA;Osnovna škola;10-311-001;0-0;Virovitičko-podravska;33518  Nova Bukovica;skola@os-vnazora-novabukovica.skole.hr;www.os-vnazora-novabukovica.skole.hr;www.os-vnazora-novabukovica.skole.hr
OSNOVNA ŠKOLA MIKLEUŠ;Osnovna škola;10-312-001;0-0;Virovitičko-podravska;33517  Mikleuš;ured@os-mikleus.skole.hr;NA;www.os-mikleus.skole.hr
OSNOVNA ŠKOLA VOĆIN;Osnovna škola;10-314-001;0-0;Virovitičko-podravska;33522  Voćin;ravnatelj@os-vocin.skole.hr;NA;www.os-vocin.skole.hr
OSNOVNA ŠKOLA SUHOPOLJE;Osnovna škola;10-315-001;0-0;Virovitičko-podravska;33410  Suhopolje;ured@os-suhopolje.skole.hr;http://os-suhopolje.skole.hr/;http://os-suhopolje.skole.hr/
